credit_card_id,customer_id,issue_date,credit_limit,current_balance,interest_rate,card_status
160,22642,2022-12-11,100000,37693.29,34.549,Active
161,13599,2023-12-05,1000000,234673.51,19.157,Closed
162,7849,2023-05-09,50000,13647.54,40.216,Active
163,3554,2024-04-01,100000,16035.33,33.578,Active
164,23617,2022-11-01,500000,129261.02,31.096,Active
165,14438,2024-10-23,100000,9361.2,31.017,Blocked
166,10694,2024-02-22,500000,92400.93,27.465,Active
167,16174,2022-12-02,100000,16293.12,33.539,Active
168,23321,2024-10-04,500000,96915.28,30.554,Active
169,9885,2023-08-12,500000,18666.85,27.925,Active
170,19915,2023-03-21,500000,217969.73,24.158,Closed
171,9668,2023-12-27,50000,32480.69,32.245,Active
172,16394,2024-05-08,100000,40482.28,36.733,Active
173,23059,2024-09-19,500000,315437.15,28.175,Active
174,16867,2023-02-23,500000,89716.28,32.57,Active
175,9161,2023-09-29,1000000,108704.22,35.222,Active
176,11544,2023-09-13,500000,111086.58,19.906,Active
177,12641,2023-12-09,500000,133786.36,28.618,Active
178,5052,2022-03-08,1000000,356870.64,30.791,Active
179,7427,2023-03-29,100000,46489.3,22.207,Active
180,208,2024-09-06,100000,33930.46,29.397,Active
181,7447,2023-02-10,500000,159429.32,20.139,Active
182,21665,2023-04-26,1000000,284762.4,23.457,Active
183,18793,2022-11-07,1000000,140350.81,21.882,Active
184,10383,2023-08-17,500000,87469.13,33.071,Active
185,12266,2023-08-01,200000,23321.48,21.691,Active
186,7374,2022-06-13,500000,179661.77,32.553,Active
187,4918,2023-04-27,1000000,318382.49,19.636,Active
188,16921,2024-09-15,500000,205269.28,20.536,Active
189,18269,2024-02-17,200000,73294.18,23.082,Active
190,17074,2022-05-29,1000000,53308.4,20.913,Active
191,9075,2024-03-30,500000,176856.88,22.17,Active
192,4518,2023-03-31,100000,9712.26,35.607,Active
193,4482,2024-06-19,200000,103094.75,23.165,Active
194,24818,2023-12-04,1000000,214443.47,29.984,Active
195,24346,2023-07-08,500000,84432.92,36.84,Active
196,20585,2024-10-30,50000,15871.53,40.328,Active
197,18664,2024-08-02,1000000,168421.42,32.734,Active
198,23725,2023-02-12,200000,36387.81,20.529,Active
199,16532,2023-06-04,1000000,240725.61,24.361,Active
200,13280,2023-04-08,500000,36565.68,22.936,Active
201,6980,2022-05-29,50000,21990.03,21.006,Active
202,17154,2023-06-07,1000000,209713.76,19.05,Active
203,23954,2024-02-29,50000,29143.3,24.571,Blocked
204,11436,2023-05-12,200000,12599.94,24.202,Active
205,2197,2022-09-13,1000000,195328.55,31.081,Closed
206,10774,2022-03-29,500000,198592.7,26.217,Active
207,1725,2022-04-18,50000,2180.48,33.271,Active
208,22664,2024-05-23,100000,43583.97,33.781,Active
209,1429,2023-08-21,200000,58072.63,38.353,Active
210,3084,2024-12-29,50000,13821.51,39.04,Closed
211,2180,2024-04-01,1000000,380541.79,34.695,Active
212,5892,2022-12-02,500000,38319.82,23.411,Active
213,3960,2022-07-30,100000,34595.96,19.405,Active
214,542,2024-01-10,100000,33781.26,20.937,Active
215,10721,2024-10-16,100000,19179.68,25.187,Active
216,12486,2022-05-04,500000,46326.84,27.212,Active
217,3472,2022-09-11,1000000,296208.87,32.075,Active
218,24571,2022-02-18,1000000,167726.73,28.444,Blocked
219,10596,2023-09-04,100000,33317.31,36.372,Active
220,14140,2024-07-14,500000,193479.09,24.786,Active
221,9558,2022-07-24,500000,98863.87,24.435,Active
222,5348,2023-10-01,200000,81392.98,23.683,Active
223,15563,2022-06-14,500000,241999.79,41.551,Active
224,20055,2023-03-21,100000,27734.98,20.738,Active
225,24260,2023-07-27,100000,36696.3,38.643,Active
226,13993,2024-05-02,50000,7151.07,21.383,Active
227,13369,2023-07-25,100000,53715.63,29.022,Active
228,1855,2024-06-02,50000,11732.98,30.465,Active
229,18134,2024-11-15,500000,87502.37,31.392,Active
230,22264,2023-08-24,200000,41231.5,27.537,Active
231,6853,2022-06-13,200000,45530.75,24.635,Active
232,21385,2023-01-22,100000,43634.49,26.714,Active
233,1899,2023-11-19,50000,9726.9,21.651,Active
234,11206,2023-07-29,200000,54006.3,29.649,Active
235,17054,2024-07-18,1000000,410678.0,23.034,Active
236,227,2024-07-31,1000000,154339.9,33.64,Active
237,16088,2022-06-05,100000,27305.02,37.823,Active
238,18100,2024-06-14,100000,38566.84,26.457,Active
239,18059,2024-07-24,200000,24408.1,18.092,Active
240,10694,2023-06-17,50000,21980.75,18.797,Active
241,11566,2023-10-08,500000,153963.8,34.098,Active
242,20059,2023-08-19,100000,18670.55,18.432,Active
243,4250,2024-09-06,50000,18482.0,41.563,Active
244,15433,2024-07-22,200000,36281.0,20.886,Active
245,10705,2024-09-27,50000,14442.6,25.198,Active
246,5828,2023-11-26,200000,50926.41,30.752,Active
247,18864,2024-10-09,500000,93428.85,20.253,Active
248,13636,2022-06-23,200000,33519.65,36.573,Active
249,23133,2022-12-14,1000000,284140.73,20.501,Active
250,16301,2022-08-02,200000,62716.59,24.105,Active
251,21260,2024-01-23,100000,21037.6,32.94,Active
252,17840,2024-05-30,1000000,690327.88,23.258,Active
253,4988,2023-01-17,50000,24887.54,24.668,Active
254,4913,2023-02-01,50000,9202.05,34.21,Active
255,21387,2023-03-21,1000000,571837.26,25.425,Active
256,22631,2024-04-29,500000,91476.49,24.161,Active
257,3745,2022-11-28,500000,79510.6,19.924,Active
258,5890,2022-07-29,1000000,68339.88,21.333,Active
259,7719,2023-01-22,500000,230705.86,30.815,Active
260,13393,2024-09-12,50000,3991.74,39.843,Active
261,9343,2023-02-24,50000,13699.57,34.151,Active
262,4021,2024-04-26,100000,6945.61,36.224,Active
263,15435,2023-03-16,100000,22907.33,21.975,Active
264,6565,2024-10-03,50000,7837.17,19.721,Active
265,11121,2024-11-20,1000000,435885.12,34.519,Active
266,6981,2022-12-29,200000,21959.74,27.312,Active
267,18694,2022-06-19,200000,77444.44,26.995,Active
268,23174,2023-09-30,500000,125810.22,27.348,Active
269,7152,2024-03-31,500000,113765.64,38.008,Active
270,13866,2024-09-30,100000,19627.58,23.641,Active
271,21316,2024-05-15,200000,89737.39,29.734,Active
272,22801,2022-06-14,200000,46239.65,35.54,Active
273,14853,2022-09-24,50000,15800.32,26.483,Active
274,10486,2023-07-12,1000000,188575.41,18.827,Closed
275,883,2023-11-26,200000,27273.38,27.008,Active
276,24510,2024-08-31,200000,1952.8,28.944,Active
277,22191,2024-07-29,500000,77461.14,28.54,Active
278,3936,2022-10-14,200000,33244.12,35.617,Active
279,20502,2023-11-27,1000000,533368.42,30.686,Active
280,12307,2024-12-24,100000,35476.65,26.203,Active
281,22053,2023-07-01,1000000,310809.26,32.726,Active
282,11529,2024-06-28,100000,31166.13,37.398,Blocked
283,21794,2023-01-10,1000000,218300.1,38.21,Active
284,15718,2022-10-22,500000,209143.38,27.631,Active
285,4728,2023-03-13,200000,61099.67,18.808,Active
286,23865,2023-02-16,50000,13585.11,23.632,Active
287,13334,2024-04-29,500000,127344.54,37.771,Active
288,7017,2022-07-28,500000,163732.3,19.505,Active
289,22441,2023-03-04,1000000,424497.0,31.723,Active
290,10381,2023-04-16,200000,50269.52,29.852,Active
291,11993,2023-06-07,100000,20504.24,40.819,Active
292,9822,2024-05-20,50000,8436.67,30.01,Active
293,19759,2022-01-31,100000,47950.67,35.272,Active
294,19622,2022-06-11,200000,43647.17,27.474,Blocked
295,14610,2024-12-24,200000,99634.69,39.365,Active
296,14563,2022-02-22,1000000,503048.68,34.513,Active
297,19558,2022-04-21,100000,13941.06,25.926,Active
298,21364,2022-04-29,1000000,126736.32,36.576,Active
299,10344,2023-10-27,500000,141508.04,36.555,Active
300,19188,2023-04-02,50000,16831.6,31.127,Active
301,15065,2023-09-02,1000000,309728.05,32.479,Active
302,5244,2022-08-21,500000,98042.62,22.92,Active
303,10602,2023-04-01,50000,11873.21,33.263,Active
304,19868,2023-07-13,200000,81301.22,19.455,Active
305,11034,2024-08-03,50000,20233.69,25.246,Active
306,19168,2023-03-22,1000000,251390.23,29.032,Active
307,1933,2022-11-27,200000,100890.89,37.035,Active
308,13980,2022-10-01,500000,109993.51,32.245,Active
309,620,2024-04-27,200000,41012.34,41.455,Active
310,19597,2024-11-28,100000,19175.48,36.752,Closed
311,22358,2022-06-20,1000000,327389.89,19.105,Active
312,4968,2022-12-15,100000,28915.38,29.541,Active
313,12298,2023-08-24,500000,153125.77,36.264,Active
314,9172,2022-04-26,500000,230751.04,27.272,Active
315,1106,2022-12-20,500000,182538.79,34.309,Active
316,12997,2023-12-01,200000,121301.18,28.322,Active
317,6298,2023-09-20,1000000,164254.9,22.907,Active
318,9584,2022-09-28,200000,95817.79,39.108,Active
319,15640,2024-10-24,200000,28151.46,21.638,Active
320,6615,2023-11-12,1000000,147065.95,18.0,Active
321,14902,2022-07-31,1000000,307656.96,23.53,Active
322,22319,2022-11-02,500000,69554.0,39.505,Active
323,16590,2024-07-26,50000,3164.65,35.024,Active
324,12542,2023-03-12,50000,3339.63,33.172,Active
325,11109,2022-04-14,50000,28688.01,22.325,Active
326,23750,2022-03-14,50000,7219.56,26.288,Active
327,9524,2022-07-02,1000000,259675.9,31.183,Active
328,9690,2023-05-03,500000,144167.54,37.141,Active
329,4770,2024-09-19,1000000,381931.31,41.209,Active
330,18625,2023-10-21,1000000,327223.28,27.517,Active
331,1482,2024-06-01,50000,13477.15,30.036,Active
332,19662,2024-11-01,200000,13696.93,24.903,Active
333,16524,2024-06-06,50000,9679.98,36.81,Active
334,20336,2023-03-28,50000,3543.33,41.569,Active
335,18823,2024-04-10,200000,44683.94,28.368,Closed
336,22746,2023-03-01,1000000,318440.32,22.907,Active
337,7163,2023-08-09,200000,83387.14,34.555,Active
338,1519,2023-01-02,500000,102311.53,31.281,Active
339,15254,2024-01-15,200000,136936.66,30.618,Active
340,18690,2024-07-05,1000000,687452.29,22.863,Active
341,18846,2022-03-24,50000,16810.39,40.982,Active
342,15597,2022-02-23,100000,11292.01,25.849,Active
343,17749,2024-07-03,50000,4063.53,32.147,Active
344,2425,2022-05-31,50000,25333.76,19.2,Active
345,5120,2022-03-02,50000,11630.55,28.195,Active
346,17569,2023-10-01,200000,6923.38,37.752,Blocked
347,14925,2023-11-22,200000,80544.46,36.498,Active
348,10749,2023-10-11,200000,10262.83,18.84,Active
349,2818,2022-04-02,1000000,236487.06,28.065,Active
350,10752,2024-05-24,200000,16062.91,29.786,Blocked
351,3279,2024-11-27,50000,5745.62,20.685,Active
352,2033,2022-07-15,100000,33104.55,40.189,Active
353,21226,2023-06-28,50000,8178.15,37.424,Active
354,6122,2022-05-17,50000,18521.5,19.863,Active
355,23591,2023-02-18,50000,12572.71,28.541,Active
356,13597,2024-12-04,1000000,578406.62,21.967,Active
357,20930,2023-12-22,1000000,159871.39,27.941,Active
358,8691,2024-10-31,100000,17255.4,23.888,Active
359,15094,2022-05-17,200000,108447.21,27.979,Active
360,16403,2022-05-21,200000,64570.62,38.893,Active
361,12208,2024-05-05,1000000,136458.04,34.61,Active
362,15811,2022-09-08,100000,908.32,29.382,Active
363,3701,2023-09-24,200000,16742.51,36.063,Active
364,9814,2022-12-05,50000,1844.86,37.694,Active
365,4995,2023-07-14,200000,60553.88,22.991,Active
366,18950,2024-12-08,500000,219143.72,19.779,Active
367,18989,2022-02-28,500000,79144.17,34.959,Active
368,24124,2024-06-16,500000,140086.39,33.88,Active
369,14684,2024-03-17,500000,169317.73,34.259,Active
370,11619,2024-06-13,1000000,476617.5,39.37,Active
371,10641,2024-07-26,200000,105272.95,25.366,Active
372,6411,2023-10-12,200000,94432.17,30.169,Active
373,20186,2023-01-19,100000,35137.81,31.184,Active
374,20675,2024-07-11,200000,10685.06,32.287,Active
375,19431,2022-12-06,1000000,287785.69,26.84,Active
376,3749,2023-11-21,1000000,179705.36,36.811,Active
377,366,2022-11-27,200000,101436.3,37.505,Active
378,5670,2022-12-17,200000,63508.82,18.968,Active
379,2851,2023-08-21,500000,118964.21,18.345,Active
380,8306,2022-05-18,50000,11478.06,27.374,Active
381,5661,2022-07-30,200000,116635.14,38.842,Active
382,13282,2024-11-03,500000,98920.77,19.28,Active
383,19346,2023-07-25,200000,58651.17,34.731,Active
384,18890,2023-02-10,200000,54282.88,28.924,Active
385,12381,2024-02-19,100000,39967.91,28.917,Active
386,14502,2024-05-25,200000,68735.28,26.518,Active
387,23560,2024-07-30,1000000,290097.52,33.817,Active
388,23597,2025-01-01,200000,24662.88,41.934,Active
389,17642,2023-01-01,50000,7642.87,26.047,Active
390,5751,2022-12-30,500000,177202.91,22.035,Active
391,4146,2023-08-07,100000,10027.67,28.554,Active
392,22411,2023-09-29,1000000,17266.98,25.259,Closed
393,12058,2024-02-29,500000,65116.33,29.629,Active
394,2012,2024-12-24,1000000,270154.1,29.03,Active
395,4921,2023-06-14,100000,56166.9,34.013,Active
396,21903,2023-01-28,100000,12268.46,40.57,Active
397,7125,2023-03-20,100000,22223.14,26.674,Active
398,23570,2024-09-05,500000,224665.4,35.67,Active
399,270,2022-04-30,500000,129718.51,22.446,Active
400,23964,2023-12-13,200000,69267.84,31.41,Active
401,11875,2022-11-04,100000,37794.52,34.146,Active
402,4821,2024-07-26,100000,8392.2,37.022,Active
403,337,2022-04-19,500000,213291.14,40.672,Active
404,315,2024-01-28,100000,17296.3,28.32,Active
405,871,2023-08-29,1000000,301564.48,22.907,Active
406,13779,2023-01-19,500000,61499.23,18.838,Active
407,2697,2022-05-20,50000,15639.28,35.39,Active
408,21433,2022-05-19,200000,51710.48,31.643,Active
409,17889,2024-08-03,100000,14698.36,25.633,Active
410,4918,2024-12-22,50000,24418.07,18.996,Active
411,10235,2022-10-20,50000,10784.1,39.237,Active
412,22705,2023-12-01,200000,13489.76,41.763,Active
413,22254,2023-01-05,200000,34198.56,40.287,Active
414,11152,2024-07-08,500000,166574.74,29.303,Active
415,9498,2023-04-09,500000,13600.15,36.821,Active
416,12393,2022-05-20,1000000,227546.05,39.82,Active
417,2231,2024-05-01,50000,15801.67,37.943,Active
418,6590,2024-08-05,1000000,280613.55,35.613,Active
419,9176,2023-04-16,50000,2914.34,33.808,Blocked
420,20444,2022-12-11,200000,37875.69,40.624,Active
421,4299,2023-08-08,1000000,388268.71,39.497,Active
422,24936,2023-12-18,500000,129117.03,31.631,Active
423,23421,2024-05-06,500000,295137.59,34.608,Active
424,21032,2023-02-09,1000000,119177.77,35.884,Active
425,10851,2023-05-11,1000000,124090.03,29.571,Active
426,6510,2024-10-12,1000000,229828.49,40.381,Active
427,13270,2023-01-25,100000,42884.37,21.869,Active
428,22674,2024-06-05,500000,150752.07,30.295,Active
429,15087,2022-05-02,500000,216153.92,38.007,Active
430,22909,2024-04-05,50000,18673.24,30.907,Active
431,14063,2024-02-10,500000,196483.15,23.553,Active
432,12459,2024-09-02,50000,22573.79,27.677,Active
433,5317,2023-03-29,1000000,126527.49,18.193,Blocked
434,18926,2023-08-31,500000,183872.55,24.585,Active
435,9222,2024-08-16,200000,52310.11,27.484,Active
436,16261,2024-02-02,200000,53271.98,36.725,Closed
437,2124,2022-05-05,50000,14058.03,23.344,Active
438,13568,2023-12-19,50000,9780.23,35.382,Active
439,12663,2023-02-09,50000,6327.12,40.758,Active
440,20177,2022-08-29,100000,16964.3,18.232,Active
441,8379,2022-10-25,100000,31548.24,32.12,Active
442,5878,2023-12-04,100000,21961.75,26.993,Active
443,23528,2023-01-11,500000,206100.66,24.225,Active
444,16474,2023-02-04,500000,129380.09,25.968,Active
445,23732,2023-04-06,500000,109329.41,31.728,Active
446,23863,2022-08-12,500000,312721.77,34.313,Active
447,20324,2023-06-18,1000000,531760.71,26.095,Active
448,13129,2024-10-29,200000,60513.84,31.094,Active
449,23166,2023-10-11,200000,37403.24,21.749,Closed
450,1171,2022-10-15,100000,31131.13,32.865,Active
451,16514,2022-09-02,100000,41172.1,28.311,Active
452,5003,2023-06-15,1000000,237974.81,21.023,Closed
453,13483,2024-08-19,200000,20793.84,36.38,Active
454,15030,2024-03-18,500000,73628.57,25.772,Active
455,8746,2022-12-02,1000000,414478.15,26.192,Active
456,15682,2024-02-27,500000,124903.72,29.585,Active
457,13747,2023-06-11,500000,61935.16,39.369,Active
458,2173,2022-11-10,1000000,228047.15,27.758,Active
459,20516,2023-12-30,1000000,76316.72,25.389,Active
460,7698,2023-10-23,200000,64815.57,33.209,Active
461,2015,2023-11-12,500000,114543.0,29.056,Active
462,7941,2022-02-12,1000000,708661.09,18.001,Active
463,20956,2024-04-16,200000,78106.04,27.329,Active
464,9463,2023-06-12,50000,20392.01,41.894,Active
465,18625,2022-01-08,100000,31703.59,25.566,Active
466,14467,2025-01-01,500000,9627.44,37.298,Active
467,7955,2024-12-02,200000,84688.44,22.71,Active
468,7978,2024-11-09,100000,2159.57,33.646,Active
469,6579,2024-06-20,500000,74368.32,24.055,Active
470,24490,2023-01-11,500000,104769.83,19.791,Active
471,10137,2022-02-15,500000,361062.05,35.577,Blocked
472,8793,2022-11-01,1000000,272997.41,34.227,Active
473,14313,2024-12-13,1000000,90627.28,29.201,Active
474,18766,2024-08-04,200000,81103.27,18.004,Active
475,15541,2024-10-05,500000,95085.64,21.634,Active
476,391,2024-07-18,1000000,125344.47,18.914,Active
477,8694,2024-07-08,100000,38825.58,37.272,Active
478,13947,2023-06-12,200000,43951.21,31.4,Active
479,11295,2023-06-26,500000,327099.52,19.924,Active
480,18540,2022-09-14,500000,190192.18,25.754,Closed
481,5210,2023-08-30,1000000,280886.52,41.895,Active
482,2081,2022-09-28,100000,39550.55,32.649,Active
483,16556,2022-12-30,100000,41884.41,19.161,Active
484,4676,2023-01-18,200000,55848.64,33.155,Active
485,11349,2023-03-09,200000,16645.43,31.719,Active
486,6560,2024-06-08,1000000,383612.91,19.923,Active
487,5507,2023-08-12,200000,87813.73,40.858,Active
488,23048,2024-11-05,100000,11128.86,31.584,Active
489,20284,2024-08-09,1000000,635139.17,28.838,Blocked
490,1690,2024-11-14,50000,22455.29,21.421,Active
491,18204,2024-09-18,100000,13972.27,18.576,Active
492,17198,2023-08-29,50000,7687.83,29.77,Active
493,12436,2023-08-11,100000,29148.76,19.746,Active
494,1785,2023-07-11,200000,84074.17,23.392,Active
495,21043,2023-03-15,200000,18684.19,24.544,Active
496,17697,2024-10-16,200000,46012.21,41.917,Active
497,12272,2024-07-27,200000,126408.48,34.817,Active
498,22093,2024-03-23,200000,16054.07,23.39,Active
499,4531,2022-09-02,100000,10084.19,31.617,Active
500,7258,2022-01-28,1000000,284228.78,30.329,Active
501,9714,2024-04-13,50000,6100.18,40.595,Active
502,1379,2024-11-24,50000,4978.21,39.518,Active
503,18861,2023-12-24,50000,23446.49,32.68,Active
504,9857,2022-12-11,100000,38282.04,31.323,Active
505,5754,2023-01-16,50000,15644.45,37.485,Active
506,12479,2024-12-28,50000,19604.72,29.004,Active
507,9874,2022-07-10,100000,16223.59,23.546,Active
508,17525,2022-03-14,200000,21640.57,36.24,Active
509,16956,2022-03-30,1000000,188263.04,21.645,Active
510,12497,2023-11-29,1000000,134181.68,21.533,Active
