mortgage_id,customer_id,branch_id,property_value,loan_amount,interest_rate,term_years,start_date,outstanding_balance,mortgage_status
32,7456,47,5012159.35,2199689.37,11.45,15,2022-06-04,1082112.73,Active
33,16922,99,4186500.42,2171136.1,7.781,30,2024-04-07,1372966.9,Active
34,2369,8,8696301.59,6255406.89,10.01,25,2023-04-16,1988912.26,Active
35,20154,63,9241836.79,4909828.08,11.409,15,2023-07-24,1570286.56,Active
36,15339,60,2254203.82,1643405.26,8.133,30,2024-09-30,1524116.54,Active
37,15203,55,2635883.57,1488065.83,7.192,30,2023-01-05,945807.54,Active
38,17215,19,4159529.1,2986851.69,8.695,15,2024-01-11,1253930.78,Active
39,16897,34,8707628.97,3685742.88,7.699,10,2023-05-03,3344808.34,Active
40,9663,69,2252207.45,1366365.85,9.559,20,2022-06-03,726062.54,Active
41,10458,90,4172811.91,2460580.04,8.958,25,2022-12-23,1375533.33,Active
42,2850,52,5005504.32,3273787.33,8.373,15,2023-03-18,2048329.92,Active
43,16348,32,5581388.16,4339845.43,11.201,25,2023-11-21,2919364.45,Active
44,22117,12,7644226.09,5538101.69,8.431,10,2024-12-02,2366232.8,Active
45,23133,26,3815359.79,1634788.04,9.908,15,2022-04-25,789938.74,Active
46,11339,29,2321015.27,1575261.15,6.696,10,2024-10-17,761359.11,Active
47,20464,36,4930798.41,3925911.84,8.36,30,2022-10-06,3103248.27,Active
48,14398,84,4573108.12,3480232.06,10.632,30,2023-11-30,1270250.51,Active
49,21331,16,4055656.13,2720160.85,8.742,20,2023-01-31,1397161.54,Active
50,1168,57,3052620.97,2139734.09,7.067,30,2024-12-01,1996931.1,Defaulted
51,15369,74,8864070.28,6980107.68,10.685,10,2022-06-19,3893668.38,Active
52,22557,37,4083726.93,1872968.39,7.666,30,2023-05-15,850038.05,Active
53,1811,61,1253177.79,856261.89,8.39,20,2023-12-15,761328.44,Active
54,4749,92,5886739.72,3514678.19,9.357,25,2023-04-21,2807091.42,Active
55,505,63,5189220.95,2568677.8,8.889,10,2024-04-03,1652791.53,Active
56,12973,32,6097187.24,4395119.0,9.28,30,2022-03-21,2826086.66,Defaulted
57,15762,47,3449437.92,2717194.74,9.647,10,2023-10-18,2117008.42,Active
58,11024,72,2136852.73,1674183.44,8.473,25,2023-01-08,804106.57,Active
59,4965,41,1016481.13,643902.62,7.8,20,2023-05-17,206696.2,Active
60,2780,29,2448129.3,1381926.61,7.166,20,2023-01-25,1267737.93,Active
61,23794,5,1581480.1,1222628.65,6.632,10,2023-01-09,1010942.32,Defaulted
62,23834,63,8951237.25,4119061.81,8.465,20,2024-03-05,2759371.68,Active
63,15107,53,3946545.92,2762441.25,9.426,30,2023-11-08,2188137.4,Active
64,22985,1,9354249.44,4643766.84,11.27,30,2023-03-25,3420623.94,Active
65,10358,3,2073313.91,1386278.38,9.101,25,2024-12-13,1288106.23,Active
66,22929,47,2765894.26,1982391.47,8.603,30,2024-05-02,1418569.36,Active
67,9522,98,3716920.97,2944489.38,9.683,20,2023-03-11,2613832.5,Active
68,9551,30,5083236.59,3078386.71,9.61,20,2022-03-22,2823460.59,Active
69,4165,34,3242661.36,1632024.18,9.604,15,2022-07-24,711456.49,Active
70,6255,23,5065801.81,2718437.33,7.14,20,2024-06-18,1136910.45,Active
71,10162,61,3158243.25,2106621.19,7.461,20,2024-10-25,1104509.3,Active
72,6982,1,5527953.74,2281507.42,9.172,25,2022-12-12,2010558.38,Active
73,22575,86,1672501.05,730742.86,6.909,20,2024-04-10,398427.22,Active
74,14179,52,1726870.27,1290525.46,7.547,15,2022-01-28,696617.72,Active
75,19182,18,5221374.04,3958233.51,8.737,20,2024-11-04,1457282.88,Active
76,1063,57,1898615.1,897880.81,10.704,15,2022-05-06,339260.12,Active
77,6372,86,8268204.22,5917293.27,9.434,10,2024-01-18,2265892.53,Active
78,21786,64,5308935.31,2894606.29,9.354,20,2024-05-26,1489930.6,Closed
79,19902,62,2918465.65,2160618.94,10.529,10,2024-01-29,720702.67,Active
80,9112,95,1000000.0,678784.58,10.983,25,2022-03-16,585505.76,Active
81,5561,66,2195233.58,1465224.65,9.284,15,2022-06-22,1172429.4,Active
82,16609,20,2438956.48,1291358.42,7.712,10,2022-03-31,1031868.57,Active
83,14595,33,4977004.24,2629136.71,8.346,15,2022-09-18,897044.96,Defaulted
84,1620,65,3288489.8,1739418.85,7.194,10,2024-02-24,653764.82,Active
85,17989,62,6640006.41,2939396.05,10.23,15,2022-11-30,2664297.22,Defaulted
86,8163,35,4220584.29,2034324.68,11.132,25,2024-05-22,1602694.39,Active
87,78,26,2562931.28,1266797.21,11.039,10,2024-12-01,703185.6,Active
88,6944,51,4207127.19,2421849.44,9.621,10,2024-11-12,1417227.64,Active
89,3688,51,1679865.62,1029325.89,9.214,20,2023-01-26,797580.31,Active
90,22127,29,1345968.17,628152.99,8.977,20,2023-02-24,595803.23,Active
91,2244,86,5573550.15,2548512.46,10.07,30,2024-05-14,935037.55,Active
92,6360,52,4859398.28,2680097.26,8.486,30,2022-02-16,1516454.95,Active
93,794,43,3318407.6,2077997.92,9.495,25,2022-01-11,1918820.4,Active
94,22551,47,3034917.6,1489963.64,7.94,20,2023-01-31,1330096.6,Active
95,19916,100,2819700.42,1946828.98,11.094,30,2024-06-06,613182.39,Active
96,11642,9,2566553.85,1818399.98,8.621,30,2024-02-18,1078394.09,Active
97,2709,47,3370759.68,2145522.83,6.774,10,2022-07-21,1763308.11,Active
98,16921,90,5967301.27,3182956.52,11.099,15,2023-04-20,2480719.32,Active
99,12952,25,2834071.01,1293307.92,8.992,30,2022-06-26,1044116.21,Active
100,16242,85,1430123.52,697955.89,9.076,10,2023-11-20,462220.23,Active
101,1760,13,1564699.46,813390.81,8.487,20,2024-08-09,718822.16,Active
102,20909,93,3547982.27,1689815.57,8.86,20,2022-01-18,829917.5,Active
103,11486,38,12439858.25,7369809.66,10.327,25,2024-07-13,2572632.42,Active
104,10094,34,9552877.04,4861657.27,8.544,25,2024-10-28,1544122.61,Active
105,23606,67,4861801.64,1983052.15,10.937,25,2024-10-03,1524032.12,Active
106,9504,46,1756829.86,1397543.24,10.651,25,2022-06-14,547422.16,Active
107,16033,23,2345736.68,1532461.12,10.741,30,2024-07-03,1040505.87,Active
108,23237,20,2837922.28,2148502.09,8.179,15,2023-12-08,1468913.07,Active
109,7084,99,1616483.8,1003543.65,11.242,25,2023-08-16,867567.69,Active
110,20608,96,8581650.34,6503353.9,8.626,20,2023-06-10,5086250.42,Active
111,18926,4,1548672.63,1019060.15,7.161,30,2023-09-02,486091.45,Active
112,5476,41,2525143.87,1933551.96,7.87,10,2024-09-24,1622892.37,Active
113,8647,10,7970783.84,5308658.97,11.072,15,2024-09-07,2914666.35,Active
114,3068,54,7754408.28,3247440.62,10.19,20,2023-11-24,2247387.62,Active
115,24763,39,1413799.92,766659.99,9.552,15,2022-02-24,560724.58,Closed
116,21793,36,2107174.53,1460332.72,9.199,20,2024-08-15,1344825.66,Active
117,2344,17,2510349.58,1349949.25,8.564,30,2024-07-27,929961.06,Active
118,1253,44,11572681.95,4980574.06,11.338,15,2023-06-08,2662779.42,Active
119,1342,80,3137891.43,1487527.39,10.865,30,2023-01-09,1062392.84,Defaulted
120,21772,15,4599092.93,3501498.82,9.966,10,2022-02-16,1150969.05,Active
121,24071,9,1116972.23,500637.04,7.463,15,2024-04-06,457468.72,Active
122,19427,18,2803209.35,2087878.14,9.112,10,2024-09-21,1387270.12,Active
123,23511,39,3415422.7,1968693.58,8.076,10,2024-09-08,998499.98,Active
124,13738,66,5707683.57,4305825.68,6.622,15,2023-06-30,1351276.25,Active
125,7207,46,4839731.37,3482251.06,8.254,10,2023-04-22,1129774.23,Active
126,18156,10,3354654.92,2121157.98,6.958,25,2023-01-24,1645969.11,Active
127,146,62,1174388.45,870373.02,9.446,10,2024-08-06,819908.4,Active
128,23896,68,2772177.81,1535039.85,7.591,15,2022-03-02,718918.6,Active
129,24263,52,5164653.21,4109380.1,6.825,25,2024-06-03,3451540.82,Active
130,17209,90,3664443.27,1534588.75,6.684,15,2022-09-16,1284502.5,Active
131,18298,61,1644511.14,998718.43,7.801,20,2023-11-21,618477.48,Defaulted
132,7907,13,4476331.39,3397421.2,7.619,10,2022-11-25,2995502.66,Active
133,17603,25,1000000.0,509183.75,10.761,15,2023-06-05,261661.07,Closed
134,15586,88,2016544.27,1399653.25,7.763,20,2024-07-02,493629.77,Active
135,9517,96,2459119.18,1820935.37,9.08,20,2023-11-29,1222498.28,Active
136,1313,6,3697189.05,2283056.99,9.106,25,2022-12-19,918408.6,Active
137,20671,27,1718748.65,1326936.07,10.264,30,2023-07-11,1150053.23,Active
138,7562,32,2172995.32,1586996.5,8.176,15,2022-12-22,1049826.96,Active
139,9883,17,2126200.99,922004.29,7.079,15,2023-12-01,282038.4,Active
140,10707,30,2330841.91,1052094.22,6.592,10,2024-09-20,549421.39,Active
141,14528,17,3600380.91,1537848.07,10.355,10,2024-06-04,807099.55,Active
142,2354,14,4092562.22,1711905.74,11.367,30,2023-12-17,1347738.35,Active
143,11802,98,7733237.97,5206929.49,7.868,30,2023-05-31,3004491.24,Active
144,9079,29,3152913.03,1467521.89,9.968,25,2024-08-31,659702.3,Active
145,17318,15,1183841.43,625419.99,10.229,20,2024-10-05,452543.55,Active
146,18640,27,2393654.47,1785051.78,11.341,10,2023-06-04,1430003.55,Active
147,8885,24,4655209.71,2106472.86,11.104,20,2024-07-04,1722566.57,Active
148,11537,84,6790491.56,3034828.73,8.652,10,2024-08-13,1037109.65,Active
149,20173,81,5190569.36,2720609.85,6.558,15,2022-12-04,1664905.07,Active
150,21805,89,2283127.59,1179612.19,10.801,10,2024-02-18,722311.36,Active
151,16020,33,3262546.57,2111723.37,9.298,15,2022-01-02,1366828.65,Active
152,23117,26,1728733.16,748547.36,8.485,15,2024-05-20,322293.36,Active
153,17019,6,3967076.91,1783946.83,9.474,10,2022-08-11,1162852.57,Active
154,3390,84,3516685.15,2631843.73,8.197,20,2023-01-18,926605.46,Active
155,515,41,6746718.09,3919352.82,7.32,20,2024-09-04,1329557.57,Active
156,13613,19,3644317.94,1690299.79,11.379,25,2023-11-16,707181.96,Active
157,7058,83,3225520.77,2006742.98,7.642,10,2024-12-18,1450296.62,Active
158,6237,54,10619990.69,7137603.32,6.653,10,2024-06-21,4287593.44,Active
159,12804,92,5460677.89,3113663.98,8.355,25,2024-08-13,1015275.45,Active
160,6564,98,5284228.58,3336832.68,8.933,15,2022-12-01,2954619.23,Active
161,20099,18,4679854.53,3579832.9,9.658,10,2024-05-16,2879618.07,Active
162,11562,44,1373653.19,880157.51,8.364,15,2023-01-10,500343.37,Active
163,14,89,1999430.19,1123696.4,9.813,10,2024-06-09,565102.69,Active
164,20741,65,3027573.37,2250075.88,10.367,25,2022-10-28,1021687.7,Active
165,5725,10,3009453.56,1602099.89,9.847,10,2022-05-13,739632.29,Active
166,16960,84,5652179.17,3858804.25,8.397,20,2023-11-18,2822610.9,Active
167,1743,6,4033175.14,2557604.72,7.529,30,2022-11-30,862185.06,Active
168,15361,35,4141310.77,3208034.4,8.761,30,2024-12-18,1621666.1,Active
169,6639,43,5411193.42,3148751.49,8.944,25,2022-05-31,1005972.05,Active
170,10986,8,3955306.53,2697013.98,11.35,10,2024-10-11,1988215.45,Active
171,14647,90,2943543.48,1992927.24,8.371,15,2022-10-30,1337047.58,Active
172,21294,68,3684288.85,2845669.1,9.883,20,2024-12-12,2087387.88,Active
173,16959,73,1896433.49,1217475.35,10.832,10,2023-11-19,960683.07,Active
174,7115,68,2566351.85,1322888.27,9.753,25,2022-01-19,1091514.93,Active
175,1368,54,2775496.13,2018156.73,9.745,30,2024-12-24,1086171.95,Active
176,2876,93,6966606.19,4724660.93,8.743,10,2024-01-06,2563665.58,Active
177,2990,9,3588811.28,2394760.36,8.399,15,2022-11-24,1526427.82,Active
178,1178,25,2224263.19,912519.16,8.401,15,2022-10-31,617877.71,Active
179,13179,43,6999505.42,5076001.4,6.591,20,2024-10-11,4481420.37,Active
180,8907,51,4457729.06,3485337.93,6.801,30,2022-05-21,1842191.91,Active
181,3611,29,1288351.11,662146.97,10.515,20,2022-04-16,461329.03,Active
182,23172,90,3096903.21,1576477.34,7.109,20,2024-11-28,1011083.52,Active
183,24612,84,3570663.23,1794705.01,8.918,10,2023-07-13,1648278.93,Active
184,23254,92,1952311.42,1420649.28,7.64,10,2022-01-10,587584.43,Active
185,1317,68,3602293.2,2242985.24,7.874,20,2024-12-19,1651792.73,Active
186,3041,55,3782788.92,2673154.9,9.433,10,2023-04-28,2312329.13,Active
187,988,71,1588797.39,833973.6,9.233,15,2024-08-26,462095.51,Active
188,770,64,3538938.96,2118786.62,7.182,30,2023-09-29,1623919.74,Active
189,6765,36,3861155.09,2437758.67,6.928,10,2022-03-14,1243723.79,Active
190,17092,13,2436853.97,1320771.25,9.095,15,2024-08-13,1083338.49,Active
191,7980,58,5763667.81,3806043.5,8.165,15,2023-12-28,2078136.58,Active
192,9687,30,3470115.62,2769819.21,8.168,25,2023-03-29,1146558.11,Active
193,633,55,3588154.11,1574017.64,10.281,10,2024-09-06,958067.16,Active
194,23155,5,1502223.69,672893.46,10.186,25,2022-11-17,570157.19,Active
195,21665,16,2165044.38,1520095.34,9.034,25,2024-01-08,518384.24,Active
196,18793,85,3700352.02,1816661.63,8.232,10,2024-08-26,1146896.2,Active
197,24838,35,3635771.42,2724409.56,10.431,25,2022-09-01,1186567.09,Closed
198,21933,35,3100424.76,1384484.01,9.872,15,2022-05-14,542483.38,Active
199,23387,2,2420674.81,990437.33,7.618,25,2022-09-23,826631.24,Active
200,20644,95,5607344.19,4176382.44,8.935,30,2024-06-17,3839425.19,Active
201,17348,25,2105900.22,1245205.34,7.663,30,2024-11-01,1155282.1,Active
202,846,20,3966328.36,2081237.41,8.698,25,2023-03-23,1491283.83,Active
203,7155,5,7586743.13,3496046.66,10.404,15,2022-12-11,1180987.17,Defaulted
204,21560,79,6390474.1,2703887.71,11.418,20,2022-05-29,1024503.62,Active
205,14084,40,3860654.72,1640456.74,10.57,25,2024-03-30,677408.87,Active
206,24242,63,2314349.78,1710782.06,10.46,30,2023-04-28,922186.08,Active
207,4482,62,4403034.41,3116124.13,8.907,30,2023-10-12,2314138.6,Active
208,22741,90,4963071.39,3213982.18,7.706,30,2022-12-04,1099184.61,Active
209,22421,52,1523665.75,1003236.46,7.83,30,2023-05-25,398818.23,Active
210,21224,99,2149545.96,1493811.55,8.379,25,2023-07-08,1210376.88,Active
211,6173,97,6127390.66,3523502.38,10.704,15,2022-08-20,2113961.73,Active
212,23254,72,1764799.6,1171370.85,7.635,10,2024-08-13,694509.03,Active
213,3457,51,2344572.2,973486.87,6.856,10,2022-05-28,758716.62,Active
214,9867,52,3135503.84,1626116.92,10.373,20,2023-06-24,862893.87,Active
215,14474,38,6519832.0,2787131.25,6.913,25,2022-12-26,1967801.95,Active
216,11825,36,3625956.98,1748708.06,9.575,10,2022-06-18,1615609.05,Active
217,5979,2,2758776.16,1241707.02,9.509,30,2022-06-09,976289.12,Active
218,16906,15,4769826.89,3160446.48,7.054,15,2022-07-02,1143315.55,Active
219,12276,30,1000000.0,465473.52,11.142,25,2023-11-17,143489.05,Defaulted
220,21726,39,5586392.13,3734961.08,10.733,10,2024-07-31,1732860.08,Active
221,17031,23,6372817.84,4406142.49,9.781,20,2022-09-13,2882795.82,Defaulted
222,16141,82,3026678.68,2345540.46,7.04,30,2023-04-08,843728.61,Closed
223,10518,43,1693226.64,909183.89,10.291,10,2023-11-27,634393.36,Active
224,5927,25,3198343.58,1473245.8,10.306,15,2022-05-09,1152244.46,Active
225,24418,89,2042058.15,1535477.83,9.275,20,2024-07-11,1147193.37,Active
226,19364,86,2323383.6,1429992.11,10.74,15,2023-07-20,1202969.86,Active
227,3984,95,5151749.45,3458634.87,8.028,20,2023-11-29,1865591.78,Active
228,14872,99,5069696.29,3492150.66,7.189,30,2024-04-01,2626627.39,Active
229,15380,17,1412524.42,1013739.01,9.441,25,2023-06-10,780795.07,Active
230,6644,4,6546370.01,3208870.21,6.764,15,2023-08-17,2218595.75,Active
231,17048,76,5954459.42,2736668.92,10.424,30,2024-07-15,2288771.82,Active
232,5470,55,1496228.99,822005.82,10.178,10,2024-04-10,364475.55,Active
233,1284,20,3628813.56,2062977.68,10.428,20,2023-02-03,1168549.32,Active
234,14473,90,4489343.06,2485000.34,9.439,10,2023-05-15,1330600.98,Active
235,18285,51,2445408.46,1484929.06,11.203,15,2023-07-01,860185.15,Active
236,22437,84,4996715.95,3681447.54,10.513,15,2023-12-05,2260150.23,Active
237,2840,57,3660562.95,2191156.1,6.535,10,2023-11-17,1526460.9,Active
238,13976,89,2654721.4,1859765.17,11.283,25,2023-09-10,899050.65,Active
239,2015,89,3973915.15,1986236.23,10.384,25,2024-04-20,1225351.39,Active
240,18682,57,2894687.73,1230419.68,8.23,15,2024-12-29,1088788.13,Active
241,6343,21,3744851.64,2337039.35,6.761,25,2024-06-14,1649661.25,Active
242,20055,90,3429867.13,2715838.55,7.456,10,2023-01-06,2530627.77,Active
243,24260,71,2095639.04,965039.12,9.919,10,2023-08-16,904565.85,Active
244,18475,41,2748605.74,1543592.66,10.458,10,2023-06-13,1078022.12,Active
245,14358,57,2870069.48,1309853.36,9.845,15,2023-03-11,947197.87,Active
246,24488,38,6154288.98,2615014.27,10.532,15,2023-09-03,872817.96,Active
247,9284,86,2291505.77,1067572.53,6.59,30,2022-03-20,930633.09,Active
248,6824,58,2106302.07,1043711.61,10.254,10,2023-03-23,687945.65,Active
249,18659,6,1614253.81,897995.42,8.36,10,2023-01-14,491448.65,Active
250,2552,12,1968871.25,1547120.64,9.117,25,2023-04-21,1225881.5,Active
251,2286,82,5822904.78,2785306.87,7.29,25,2023-01-21,1409073.07,Active
252,13938,40,1529881.99,1166469.69,9.035,25,2024-10-11,489621.16,Active
253,11206,19,1933191.03,1113768.13,10.912,25,2024-03-24,565553.01,Defaulted
254,21493,21,4126662.33,2451829.99,10.126,15,2024-07-12,2141068.0,Active
255,24218,5,6281141.74,4319801.52,11.367,25,2022-09-22,3595765.14,Active
256,16300,11,13582055.12,9291444.79,11.006,25,2023-04-02,4948334.27,Active
257,3349,28,2485291.92,1166856.08,10.63,10,2024-09-07,668698.59,Active
258,5434,75,5643295.13,3926991.43,9.756,10,2024-04-16,3235948.24,Active
259,10488,28,2497992.25,1313863.58,9.908,10,2022-05-04,1241118.5,Active
260,9795,4,3849755.91,1658594.98,10.832,30,2022-08-15,1320326.09,Active
261,393,99,3946883.42,1946228.97,6.795,15,2023-10-08,1432377.82,Active
262,15224,46,3689635.75,1639658.58,8.802,25,2023-05-16,1074503.27,Active
263,4250,87,2435273.18,1694856.74,7.137,10,2022-03-24,1580122.75,Active
264,5076,45,3110228.32,2114103.52,11.314,10,2024-02-02,1497535.32,Active
265,1461,61,2132776.06,1039466.58,6.842,10,2022-10-13,343003.51,Active
266,13966,75,10326321.68,5302890.21,6.871,10,2022-11-30,4152563.82,Active
267,19583,55,5513273.88,4173112.78,9.157,10,2023-03-08,1345977.74,Active
268,1493,21,8375634.17,6685221.86,6.818,25,2024-10-09,2413413.46,Active
269,11329,8,5589266.93,4200845.85,9.087,25,2023-03-14,2446939.67,Active
270,23133,22,4306352.4,2759378.73,9.535,20,2023-05-20,2088054.86,Active
271,16301,67,1922190.75,1064517.95,9.761,15,2022-12-13,833875.28,Active
272,7430,86,3323698.96,2172507.95,7.772,10,2023-07-27,1318974.5,Active
273,10333,99,2581506.69,2035809.94,7.48,20,2024-01-19,1238357.68,Active
274,10289,46,2233696.65,1373283.39,6.747,20,2023-02-08,508412.5,Active
275,5483,54,3896331.32,2357541.85,11.159,10,2024-03-27,1652856.65,Active
276,16295,55,6832818.05,3676665.99,10.871,30,2024-02-18,1210192.33,Active
277,22517,12,7380208.37,5556584.14,9.873,10,2023-08-25,5116443.4,Active
278,13147,46,2212994.96,886583.41,6.756,30,2023-03-07,300277.87,Active
279,24996,82,2214287.74,1225686.99,6.961,25,2024-07-24,966167.05,Active
280,19087,41,3947323.61,1705528.03,11.209,30,2022-04-15,1228308.59,Active
281,7545,39,3370482.81,1535418.49,10.868,25,2023-03-30,580945.5,Active
282,6032,94,13266575.43,5659223.08,7.211,10,2022-09-25,2783072.69,Active
283,12337,95,2417395.55,1085897.27,8.833,10,2022-10-04,814553.63,Active
284,24951,73,3440284.38,2302192.38,8.032,15,2024-11-19,1358691.06,Active
285,3135,23,3831555.81,2937477.95,8.094,15,2023-11-10,1858227.7,Active
286,6565,56,3772230.43,2483244.97,10.31,25,2024-07-02,1773003.4,Active
287,18214,64,3009145.61,1578257.75,9.529,15,2024-04-12,581459.3,Active
288,7070,88,2207641.65,1741410.04,9.027,20,2023-07-11,957312.94,Active
289,18694,59,3113943.14,1444900.68,7.235,30,2023-06-26,555609.19,Active
290,8316,35,2667077.69,1461982.09,10.942,25,2024-02-25,1224205.01,Defaulted
291,12356,69,1401681.88,751518.52,7.271,10,2023-11-05,307685.98,Active
292,13866,98,1443451.43,1061542.6,7.797,20,2024-02-01,358239.77,Active
293,15997,99,1100620.98,695798.32,7.253,15,2022-05-19,302498.91,Active
294,24402,86,4932471.02,3422302.13,9.347,15,2024-02-26,1474508.7,Active
295,20115,64,3215266.01,1984493.8,9.465,15,2022-09-24,1051284.56,Active
296,12022,11,2392290.47,993261.36,9.247,30,2024-09-03,737487.95,Active
297,23348,96,3302958.59,1444941.89,8.96,15,2023-02-11,796526.14,Active
298,3826,81,4683431.07,2795681.41,10.828,20,2022-03-23,1644549.23,Active
299,15689,72,6612047.7,3905031.43,10.77,10,2022-12-03,3321345.42,Active
300,16166,67,4032961.32,1713940.15,8.742,30,2024-07-31,1212244.39,Closed
301,21163,67,3235552.26,2184285.14,9.963,15,2022-11-16,1080363.01,Active
302,20120,35,2640066.99,1905534.04,7.554,10,2022-01-19,820185.99,Defaulted
303,22053,13,3053959.23,1994731.74,10.267,30,2022-07-07,1452267.11,Active
304,10434,63,2687012.66,1984005.71,6.943,10,2024-03-12,695338.58,Active
305,24323,14,2254980.65,1216625.68,10.541,30,2022-02-14,1120299.2,Active
306,15272,17,3019237.07,1569478.75,9.003,15,2022-11-18,545215.25,Active
307,2952,87,1888103.77,967467.77,11.146,20,2024-01-03,657024.17,Active
308,22174,53,2148139.69,1330970.55,6.668,20,2024-12-12,759290.65,Active
309,23626,10,4542244.05,3392026.98,10.607,25,2023-10-22,2522654.51,Active
310,9204,53,2048948.3,1404720.14,10.52,25,2024-12-18,1129359.87,Active
311,12642,75,1192619.09,540890.14,7.858,10,2024-09-17,228729.29,Active
312,11990,38,3218911.68,2208223.27,10.979,15,2023-01-25,1016744.42,Active
313,20617,27,2276240.94,1238488.06,10.833,25,2023-09-04,1101857.91,Closed
314,8390,56,2766104.81,1573785.87,11.32,30,2023-02-05,1174929.55,Active
315,6319,23,7747092.99,5279975.73,7.771,20,2024-11-02,2211384.27,Active
316,12719,25,1574655.47,711492.74,7.99,30,2024-09-05,506811.1,Defaulted
317,22057,99,3262716.23,1807701.56,8.788,15,2022-08-15,976843.27,Active
318,2258,13,1917432.9,1355676.93,8.579,15,2023-10-11,985956.4,Active
319,9389,34,2813216.73,1888020.87,8.474,25,2022-10-01,1470981.15,Closed
320,16924,54,3996058.17,1681858.77,7.496,25,2022-08-23,906624.29,Active
321,2101,74,3343422.52,1695239.16,6.573,30,2024-05-17,1554110.28,Active
322,19046,17,1883791.2,1308255.63,11.03,25,2023-06-25,787127.51,Closed
323,19612,16,9917876.36,5204361.42,10.365,25,2023-11-29,4460836.23,Active
324,18607,94,3682028.15,1585311.87,8.339,30,2023-10-27,1272279.7,Active
325,14891,100,1653642.7,662352.44,9.242,25,2023-09-15,489562.61,Active
326,15065,72,1458415.46,1067421.93,7.535,20,2023-10-06,944290.42,Active
327,5244,87,3550411.42,2092471.73,9.858,25,2023-01-28,953022.96,Active
328,23068,22,4637338.89,3062419.46,8.328,20,2022-12-28,2702428.45,Active
329,22984,68,1749030.58,1386388.91,8.441,25,2023-05-06,1145724.44,Closed
330,23990,60,1949974.43,1043111.63,9.194,10,2023-11-17,355108.68,Active
331,18331,98,1795880.41,1406486.21,7.709,30,2022-10-04,1301705.28,Active
332,22974,82,3000526.07,2314798.19,9.234,30,2022-01-03,943829.7,Active
333,9798,41,4182099.54,2077628.8,7.485,20,2023-07-14,1172485.18,Closed
334,5452,11,4009197.8,2441665.15,8.795,15,2024-11-08,1011977.56,Active
335,1297,43,4387752.91,2378234.14,9.107,15,2024-07-18,1884159.88,Active
336,3424,100,4963706.84,2932359.66,7.737,10,2024-11-28,2368985.19,Closed
337,18853,74,4453826.36,2855908.03,10.422,25,2022-06-20,942269.38,Active
338,20023,72,4112307.63,1937535.33,10.541,30,2024-06-07,1088501.26,Active
339,20807,67,3256097.58,1970225.89,8.462,30,2023-12-19,1387680.76,Defaulted
340,17077,91,4584843.85,2542430.11,8.578,10,2022-04-24,2253746.48,Active
341,21905,22,4273485.99,2100323.34,10.834,30,2024-01-03,1219022.25,Active
