investment_id,customer_id,investment_type,asset_name,investment_date,quantity,purchase_price,current_value,risk_level
62,2968,Fixed Deposit,Government Bond,2025-01-27,967.612971,2762.46,2683905.59,Low
63,12044,ETF,NIFTY 50 ETF,2022-10-06,250.766433,2923.69,931316.25,Medium
64,8788,Equity,Energy Fund,2025-09-27,238.997916,1919.76,491209.11,High
65,7401,Fixed Deposit,Government Bond,2022-03-17,895.627705,1976.55,1339199.79,Low
66,21331,Equity,Healthcare Fund,2025-10-22,319.994324,4752.81,2008103.99,High
67,21973,Fixed Deposit,Corporate Bond Fund,2025-03-20,92.612443,3032.08,303897.17,Low
68,22926,Equity,Healthcare Fund,2025-03-02,114.351137,4658.1,710859.4,High
69,15369,Mutual Fund,Healthcare Fund,2024-08-11,546.369854,3543.87,2577534.16,High
70,6314,ETF,Energy Fund,2024-08-03,102.021553,466.33,55691.09,Low
71,13808,Mutual Fund,NIFTY 50 ETF,2025-09-27,147.458217,2590.96,340008.39,Medium
72,3142,ETF,Government Bond,2023-03-21,947.301329,4930.71,5614503.81,Low
73,15486,ETF,Government Bond,2022-06-22,705.37928,1281.18,856864.48,Medium
74,13117,Fixed Deposit,Energy Fund,2024-10-21,405.796885,2878.79,1395518.91,Low
75,23961,Mutual Fund,Technology Fund,2024-07-17,238.268965,2031.1,501675.42,Low
76,1853,Fixed Deposit,Large Cap Fund,2022-03-21,963.259317,110.16,141340.3,Low
77,13844,Fixed Deposit,Energy Fund,2025-11-26,992.971831,415.29,446317.83,Low
78,11830,Equity,Mid Cap Fund,2025-07-06,217.592297,1507.75,442078.93,High
79,24934,Equity,Technology Fund,2023-10-30,915.339087,4795.58,3444583.14,High
80,19130,Fixed Deposit,SENSEX ETF,2023-06-24,278.103802,981.2,280575.66,Low
81,7313,ETF,Energy Fund,2024-07-17,974.420413,4931.74,5617241.31,Low
82,1582,Fixed Deposit,Government Bond,2025-06-30,813.981225,3439.42,2372876.7,Low
83,10,Bond,Technology Fund,2024-03-08,417.222419,2926.75,1589279.03,Low
84,2194,Bond,NIFTY 50 ETF,2024-05-02,552.036285,865.93,476472.44,Low
85,13773,Bond,NIFTY 50 ETF,2022-04-15,381.509966,4851.08,2323173.3,Low
86,18385,Mutual Fund,Large Cap Fund,2024-02-10,274.133665,329.06,114456.48,High
87,20563,Fixed Deposit,NIFTY 50 ETF,2025-01-13,585.564383,3644.3,2569832.1,Low
88,21950,Equity,NIFTY 50 ETF,2024-05-30,130.030256,4772.55,691138.72,High
89,10358,Bond,Government Bond,2025-08-22,358.804555,612.11,253218.63,Low
90,10041,ETF,NIFTY 50 ETF,2023-09-16,552.354932,2826.64,1992219.55,Low
91,15782,Fixed Deposit,SENSEX ETF,2024-03-16,620.689242,3535.19,1926071.97,Low
92,10210,Bond,Corporate Bond Fund,2022-09-06,590.327769,1991.61,1190380.1,Low
93,24115,Equity,NIFTY 50 ETF,2022-05-13,783.86936,2012.89,1772312.27,High
94,19964,Fixed Deposit,Corporate Bond Fund,2024-09-10,147.926407,4636.61,716926.37,Low
95,3819,Fixed Deposit,Government Bond,2022-04-21,980.052543,2488.46,2310175.67,Low
96,22416,Equity,Technology Fund,2024-06-18,460.65904,2944.59,1343133.06,High
97,10162,ETF,Healthcare Fund,2024-12-10,896.891621,2396.11,2472557.73,Low
98,13717,Mutual Fund,Mid Cap Fund,2023-10-07,169.766128,1429.02,207715.27,Low
99,14125,Equity,Energy Fund,2024-03-04,356.635493,4476.38,1320648.79,High
100,12395,Equity,NIFTY 50 ETF,2024-11-15,481.664249,3454.53,1758759.82,High
101,303,ETF,Technology Fund,2023-12-27,85.432491,3006.53,344636.34,Low
102,6810,Bond,Technology Fund,2024-06-01,760.195454,2679.77,2408536.8,Low
103,19730,Mutual Fund,Healthcare Fund,2024-03-16,844.596232,3760.6,2440212.85,High
104,1063,Mutual Fund,Energy Fund,2025-07-20,243.228033,1382.75,328377.35,High
105,6169,Bond,Corporate Bond Fund,2025-11-18,535.800228,1204.42,616777.31,Low
106,14370,Mutual Fund,Technology Fund,2025-10-24,498.943757,480.26,256936.36,Low
107,15680,ETF,SENSEX ETF,2022-11-11,379.393853,1720.36,841838.08,High
108,18118,Fixed Deposit,Mid Cap Fund,2023-09-16,331.018133,4671.77,1166822.43,Low
109,13047,ETF,Government Bond,2022-08-31,187.380457,1461.22,233835.46,Medium
110,14044,Fixed Deposit,Corporate Bond Fund,2023-10-08,982.396238,604.59,587245.77,Low
111,20674,Equity,Technology Fund,2024-11-15,491.25803,3628.34,2214723.03,High
112,16609,Mutual Fund,Corporate Bond Fund,2022-04-23,769.72344,975.87,709239.0,Low
113,1918,ETF,Corporate Bond Fund,2024-04-24,707.522866,3850.51,2185926.1,High
114,22423,Mutual Fund,Healthcare Fund,2022-06-21,52.771713,1716.19,75228.83,High
115,10569,Bond,NIFTY 50 ETF,2024-02-16,323.031491,4058.88,1183681.76,Low
116,7985,Mutual Fund,Large Cap Fund,2022-11-14,472.104612,2088.61,945932.3,High
117,19020,ETF,Government Bond,2023-05-28,125.172926,3667.79,602811.43,Medium
118,23326,ETF,Government Bond,2023-12-26,140.632604,3986.57,488306.09,Low
119,20612,Fixed Deposit,Energy Fund,2024-12-01,814.760146,3342.73,2897387.61,Low
120,6944,Equity,Government Bond,2023-02-26,683.299081,2287.15,1841404.8,High
121,1249,Equity,Banking ETF,2024-03-31,747.861771,2538.47,1688318.78,High
122,24520,Mutual Fund,Healthcare Fund,2024-11-04,117.781143,4702.17,623955.07,High
123,18589,Fixed Deposit,Mid Cap Fund,2025-01-25,495.928203,3720.23,2018192.69,Low
124,19030,Fixed Deposit,SENSEX ETF,2023-06-01,249.240651,3732.53,716441.55,Low
125,6372,Mutual Fund,Technology Fund,2024-08-05,342.739667,4115.22,1151462.14,Medium
126,3757,Fixed Deposit,SENSEX ETF,2022-04-05,540.320776,2457.47,1321678.16,Low
127,5780,Mutual Fund,Healthcare Fund,2024-05-21,565.942839,3595.09,2257235.97,High
128,11474,Bond,Energy Fund,2024-09-19,947.336056,809.09,844459.63,Low
129,20261,ETF,Technology Fund,2022-05-07,932.186164,2847.41,3100215.29,High
130,20531,Bond,Technology Fund,2025-08-13,771.475422,1903.46,1162077.09,Low
131,14756,Mutual Fund,Mid Cap Fund,2024-09-09,123.687971,1217.73,127922.7,High
132,2709,Equity,Energy Fund,2025-08-25,332.814266,1591.65,469566.73,High
133,7971,Equity,Corporate Bond Fund,2023-06-21,206.374229,3949.56,906567.02,High
134,24994,Bond,NIFTY 50 ETF,2023-10-02,919.935761,1764.41,1555253.22,Low
135,1991,Mutual Fund,Corporate Bond Fund,2023-12-11,452.987077,747.24,289691.57,High
136,4758,Fixed Deposit,Healthcare Fund,2022-06-05,914.931055,1843.85,1852916.52,Low
137,17073,Bond,Corporate Bond Fund,2022-12-08,663.873835,931.28,820198.02,Low
138,9182,ETF,Banking ETF,2023-03-11,996.877378,2535.87,2799021.04,High
139,9693,Mutual Fund,Technology Fund,2024-11-08,350.037612,2367.75,932388.84,High
140,6646,Bond,NIFTY 50 ETF,2022-04-24,294.750635,3584.59,1126916.04,Low
141,16003,Mutual Fund,Healthcare Fund,2022-06-11,103.878498,1705.1,140866.12,High
142,15709,ETF,Technology Fund,2024-04-12,26.360969,822.96,25589.76,Low
143,16381,Equity,Technology Fund,2024-12-13,222.75019,1193.82,306646.08,High
144,3055,Equity,Technology Fund,2022-04-06,800.116169,933.8,852976.73,High
145,14290,Mutual Fund,Banking ETF,2022-11-26,141.940767,2061.64,276359.01,Low
146,13860,Equity,SENSEX ETF,2023-05-29,208.678369,181.33,32499.8,High
147,1410,Equity,Government Bond,2023-04-16,817.626118,1742.0,1289924.29,High
148,7084,ETF,Government Bond,2024-05-03,345.846953,3880.48,1298643.45,Low
149,20608,ETF,NIFTY 50 ETF,2025-02-12,868.599508,2462.78,2752541.38,Low
150,23753,Equity,Mid Cap Fund,2025-07-25,269.408682,2731.09,831494.44,High
151,8997,Mutual Fund,Mid Cap Fund,2025-03-15,984.417779,2652.17,2227066.08,Medium
152,22181,Fixed Deposit,Energy Fund,2024-09-24,815.239374,2515.55,1620738.05,Low
153,18459,Bond,Energy Fund,2025-08-03,720.482379,577.56,347053.04,Low
154,11665,Mutual Fund,Healthcare Fund,2024-09-07,600.916344,3341.93,1717476.56,Medium
155,17771,ETF,NIFTY 50 ETF,2024-03-29,519.398788,282.48,124678.74,Medium
156,21800,Fixed Deposit,Corporate Bond Fund,2025-02-10,603.548957,1264.48,750641.1,Low
157,2712,Mutual Fund,Mid Cap Fund,2023-02-10,610.794262,4749.07,2865865.34,High
158,15827,Fixed Deposit,Government Bond,2025-06-21,484.271187,1386.06,720836.83,Low
159,154,Mutual Fund,SENSEX ETF,2022-03-14,496.869881,3004.37,1418958.47,Low
160,18024,Equity,Healthcare Fund,2022-01-25,352.188621,2093.33,864757.01,High
161,20582,Mutual Fund,SENSEX ETF,2023-06-08,78.687579,61.58,6447.62,High
162,16714,Mutual Fund,Energy Fund,2022-01-12,92.490491,4590.7,353302.84,Low
163,5320,Mutual Fund,Energy Fund,2023-04-11,806.754587,3310.98,3112863.05,High
164,13850,Equity,Healthcare Fund,2024-11-05,647.018254,3481.22,1759037.34,High
165,12046,Equity,Large Cap Fund,2022-05-17,181.39477,2861.33,674372.16,High
166,18804,Mutual Fund,Banking ETF,2024-09-21,422.340897,3986.94,2015632.11,Medium
167,19608,Bond,Government Bond,2023-09-12,522.912141,3240.51,1931900.02,Low
168,20663,ETF,Banking ETF,2022-12-30,77.876248,3496.63,259757.95,Low
169,15521,Equity,Healthcare Fund,2025-02-05,538.863089,3325.19,2137132.41,High
170,9997,Bond,SENSEX ETF,2024-11-28,25.376381,4356.99,84334.45,Low
171,12985,ETF,Technology Fund,2025-06-16,767.421101,2039.56,1624560.65,Low
172,12677,Equity,NIFTY 50 ETF,2022-01-03,768.50514,2117.95,1632232.6,High
173,14270,Fixed Deposit,Large Cap Fund,2023-03-08,355.267535,1471.83,485133.59,Low
174,24441,Equity,Technology Fund,2024-08-21,910.428763,273.25,202919.43,High
175,4806,ETF,Banking ETF,2025-09-04,950.011223,3942.41,3009923.07,High
176,22075,Mutual Fund,Technology Fund,2025-08-26,613.797978,876.82,723703.56,Medium
177,17209,Fixed Deposit,Healthcare Fund,2024-07-25,830.811875,645.68,417436.92,Low
178,8246,Equity,Banking ETF,2023-11-20,957.312993,4139.72,4876327.56,High
179,7658,Equity,Government Bond,2023-11-21,927.824531,4974.79,3943394.44,High
180,21261,Bond,Technology Fund,2024-06-11,696.324597,811.78,700646.74,Low
181,18025,Equity,Technology Fund,2025-09-08,593.346995,2921.43,1395215.88,High
182,13775,Mutual Fund,Technology Fund,2025-07-08,888.859332,4780.47,5384873.25,Low
183,21755,Mutual Fund,Large Cap Fund,2025-04-14,282.10957,1300.61,276305.36,High
184,8988,Bond,Large Cap Fund,2024-08-30,533.069917,4812.5,2092549.65,Low
185,18547,Equity,Healthcare Fund,2025-09-08,62.455509,4420.39,292544.77,High
186,20696,Bond,Government Bond,2022-12-02,544.235129,4329.24,2804603.09,Low
187,18989,ETF,Energy Fund,2025-04-08,158.183319,843.98,126882.57,Low
188,16941,ETF,Healthcare Fund,2024-01-31,699.291747,986.65,882438.74,High
189,3742,Mutual Fund,Banking ETF,2022-03-23,825.990934,687.91,540402.52,High
190,21728,ETF,NIFTY 50 ETF,2025-06-10,832.302044,2561.97,1607416.77,Medium
191,1008,Equity,Mid Cap Fund,2023-04-12,116.728013,1914.64,168835.84,High
192,2383,Bond,Large Cap Fund,2024-09-15,432.808543,4208.6,1794725.44,Low
193,8074,ETF,Mid Cap Fund,2023-12-06,947.35059,873.57,1003511.05,Medium
194,17071,Bond,Corporate Bond Fund,2024-02-02,75.619723,4269.45,433945.62,Low
195,14415,Mutual Fund,Government Bond,2023-04-04,384.228648,374.85,179013.38,Low
196,14289,Bond,Government Bond,2023-02-01,2.02845,836.74,1750.12,Low
197,23412,Equity,SENSEX ETF,2024-08-31,164.460197,3984.31,764170.28,High
198,989,ETF,Large Cap Fund,2022-10-30,132.203791,4346.87,763131.81,Medium
199,5627,Fixed Deposit,NIFTY 50 ETF,2023-07-24,638.887422,2018.09,1179133.28,Low
200,8985,ETF,Technology Fund,2025-07-18,230.724651,1104.87,195952.29,Medium
201,3381,ETF,Technology Fund,2023-08-14,968.225234,968.35,1191829.98,High
202,6060,Mutual Fund,Large Cap Fund,2023-01-13,530.824039,138.42,90232.76,Medium
203,13548,Mutual Fund,Corporate Bond Fund,2023-06-05,462.635193,56.1,28781.47,Medium
204,2434,Equity,Technology Fund,2023-08-07,161.664644,3275.02,500629.12,High
205,17774,Mutual Fund,Mid Cap Fund,2022-01-11,150.431062,2349.76,409423.62,Low
206,17163,Fixed Deposit,Mid Cap Fund,2025-01-16,757.302208,4765.61,4672550.29,Low
207,8784,Equity,Mid Cap Fund,2025-01-14,242.802971,4933.98,1000913.23,High
208,16386,ETF,NIFTY 50 ETF,2024-03-11,560.089035,98.37,52111.71,Low
209,17302,Equity,Banking ETF,2022-07-13,351.276304,214.36,60023.56,High
210,9079,Bond,NIFTY 50 ETF,2022-11-13,689.775504,4012.9,2408412.13,Low
211,553,Mutual Fund,SENSEX ETF,2023-12-17,32.554559,4684.25,119125.46,High
212,2431,Bond,Banking ETF,2023-04-04,625.679356,3927.94,2746047.48,Low
213,21289,ETF,Healthcare Fund,2022-01-14,817.480472,2288.98,2125949.35,Medium
214,13613,Mutual Fund,Government Bond,2022-05-02,61.291732,1273.16,65995.65,Medium
215,2357,Mutual Fund,Banking ETF,2022-10-15,470.71241,3734.18,2237759.77,High
216,24888,Mutual Fund,Energy Fund,2024-12-18,21.840278,3283.65,68086.24,Medium
217,13519,Mutual Fund,NIFTY 50 ETF,2024-06-21,403.8581,1141.78,461595.62,Medium
218,8596,ETF,Large Cap Fund,2023-05-31,868.404233,3649.49,3789207.01,Low
219,4704,ETF,Energy Fund,2023-02-24,987.661914,248.54,311805.69,Medium
220,11172,Bond,Mid Cap Fund,2022-10-22,725.532403,2459.01,2273029.89,Low
221,20099,Bond,SENSEX ETF,2022-01-21,992.141183,1455.08,1393825.42,Low
222,13911,Equity,Healthcare Fund,2024-07-28,132.436117,3593.33,616473.5,High
223,2366,Bond,Mid Cap Fund,2023-01-16,181.795976,4279.21,813235.16,Low
224,24604,Equity,SENSEX ETF,2025-04-01,662.958658,521.54,394609.64,High
225,12589,Fixed Deposit,Banking ETF,2025-08-19,10.021374,2962.64,32932.71,Low
226,22282,Mutual Fund,Energy Fund,2025-07-04,74.423251,890.3,70358.22,Medium
227,16960,Fixed Deposit,Mid Cap Fund,2025-07-31,249.465558,3104.87,909381.94,Low
228,3569,Equity,Technology Fund,2022-06-05,605.932619,1815.82,1177403.36,High
229,14847,ETF,Large Cap Fund,2024-11-09,112.8077,1385.26,122553.56,High
230,5179,Bond,Large Cap Fund,2025-03-30,40.304197,654.44,26939.18,Low
231,2290,Equity,Technology Fund,2025-06-28,585.08603,3456.63,1999020.57,High
232,21727,Mutual Fund,Technology Fund,2023-05-10,951.859974,3213.64,3887149.47,Medium
233,5758,Mutual Fund,Corporate Bond Fund,2025-09-21,343.310835,2684.61,760776.77,Medium
234,24705,Bond,Banking ETF,2023-10-31,202.651599,3383.49,913275.95,Low
235,5239,Fixed Deposit,Healthcare Fund,2023-03-03,963.383486,1313.77,1451687.93,Low
236,303,Bond,Technology Fund,2023-08-11,18.498475,1258.53,29066.78,Low
237,14288,Mutual Fund,Large Cap Fund,2025-08-20,689.837224,3398.74,2061834.04,Low
238,17088,Fixed Deposit,Mid Cap Fund,2023-07-29,577.608051,1775.44,867141.53,Low
239,20213,Equity,Energy Fund,2024-08-28,866.572229,4967.02,5171405.53,High
240,3554,ETF,SENSEX ETF,2023-02-01,404.736181,1668.81,777119.45,Medium
241,8190,Equity,Mid Cap Fund,2023-03-31,317.878521,4351.06,1349088.09,High
242,2191,Equity,Large Cap Fund,2024-04-07,329.052847,3169.53,1163820.2,High
243,22444,Fixed Deposit,Mid Cap Fund,2025-07-14,449.244929,1225.84,536358.71,Low
244,22613,Mutual Fund,Healthcare Fund,2022-11-24,642.933393,3808.75,2571868.45,Medium
245,12,Bond,Large Cap Fund,2022-10-31,479.702696,176.93,81032.34,Low
246,21830,Fixed Deposit,SENSEX ETF,2022-12-30,246.823589,2409.64,586798.31,Low
247,21628,Mutual Fund,Energy Fund,2023-12-16,19.21435,1019.1,14774.88,High
248,13646,Mutual Fund,Corporate Bond Fund,2024-10-04,197.956972,2421.96,415550.26,High
249,23696,Fixed Deposit,Healthcare Fund,2023-11-01,285.588029,1571.09,552694.89,Low
250,20830,Bond,Banking ETF,2025-10-06,400.505302,4884.79,2433555.01,Low
251,15601,ETF,Healthcare Fund,2023-03-21,799.981314,963.7,714789.28,Medium
252,9601,Bond,Technology Fund,2025-10-17,917.834737,2151.41,1584101.99,Low
253,19482,Mutual Fund,Energy Fund,2022-01-10,602.010208,4104.98,3164485.4,Low
254,17457,Bond,Healthcare Fund,2024-05-08,361.411747,4534.16,1986048.86,Low
255,3274,Fixed Deposit,Energy Fund,2022-05-26,302.758441,3673.19,1402016.95,Low
256,16867,Mutual Fund,SENSEX ETF,2023-11-04,452.315911,2953.71,1136689.45,Medium
257,988,Fixed Deposit,Banking ETF,2025-03-29,96.618841,167.01,18317.78,Low
258,21401,Mutual Fund,SENSEX ETF,2025-09-05,257.626964,3178.48,642865.7,Medium
259,22987,Mutual Fund,Banking ETF,2025-07-27,695.449409,2051.38,1436501.5,High
260,6765,ETF,Corporate Bond Fund,2024-01-14,105.00554,3635.48,418786.8,Medium
261,10107,Fixed Deposit,Mid Cap Fund,2023-03-01,894.296684,999.74,844019.83,Low
262,3611,ETF,Large Cap Fund,2024-02-15,519.540731,384.68,245868.17,Low
263,8534,Bond,Mid Cap Fund,2025-02-27,680.451799,1192.6,831079.58,Low
264,20596,ETF,Technology Fund,2023-10-24,363.581328,4977.63,1842007.36,Medium
265,208,ETF,Healthcare Fund,2023-03-22,957.667659,917.75,1023041.11,Medium
266,20104,Equity,Corporate Bond Fund,2023-05-30,821.984637,56.12,42925.5,High
267,22484,Fixed Deposit,Technology Fund,2025-06-25,120.709173,4872.11,448148.33,Low
268,23506,ETF,Technology Fund,2024-03-10,842.191261,2628.74,2488762.78,Low
269,20110,Equity,Corporate Bond Fund,2023-04-26,608.877926,2558.85,1317440.59,High
270,15097,Bond,Energy Fund,2023-03-25,342.332827,1935.5,634620.2,Low
271,4407,Mutual Fund,Mid Cap Fund,2023-02-10,397.584536,2263.65,999313.45,High
272,561,Mutual Fund,Healthcare Fund,2023-11-09,992.165857,4264.55,3702701.17,High
273,7630,Bond,Mid Cap Fund,2024-12-26,628.322103,3387.8,2276547.94,Low
274,20610,ETF,Government Bond,2025-05-14,81.838364,2044.75,142926.83,Medium
275,20644,ETF,NIFTY 50 ETF,2025-02-07,641.331105,4121.28,2192494.13,Medium
276,5773,Fixed Deposit,Large Cap Fund,2023-04-27,318.213916,4766.35,1888496.85,Low
277,23564,Fixed Deposit,Corporate Bond Fund,2024-09-15,26.786095,719.07,25576.3,Low
278,5180,ETF,Banking ETF,2023-04-12,641.185488,1119.39,805122.33,High
279,3851,Mutual Fund,SENSEX ETF,2025-06-30,780.980824,2326.01,1425823.33,Low
280,17564,Equity,Government Bond,2022-09-20,430.90684,894.79,306443.6,High
281,1383,ETF,Corporate Bond Fund,2025-05-29,509.912706,4983.65,3147009.15,Low
282,5694,ETF,Government Bond,2023-06-03,426.657301,697.02,381239.15,Medium
283,4482,Mutual Fund,Large Cap Fund,2022-09-03,827.710358,3681.39,3691845.4,Medium
284,22741,Fixed Deposit,Healthcare Fund,2022-08-30,760.529533,728.69,593643.38,Low
285,164,Fixed Deposit,NIFTY 50 ETF,2024-09-21,975.897881,4017.61,5197952.81,Low
286,24346,Equity,Corporate Bond Fund,2023-06-30,548.411529,2299.17,1584452.51,High
287,19878,ETF,Healthcare Fund,2022-01-21,476.542111,1910.65,898381.1,Medium
288,393,Bond,Energy Fund,2022-05-09,892.192604,4778.91,5210853.35,Low
289,20282,Bond,Technology Fund,2024-02-28,438.165521,1310.62,720432.77,Low
290,23473,ETF,NIFTY 50 ETF,2024-08-13,495.956651,1962.43,992817.01,High
291,9224,Fixed Deposit,Technology Fund,2022-03-28,151.018832,3700.3,590853.15,Low
292,18053,Mutual Fund,Corporate Bond Fund,2022-10-04,73.012252,402.72,22266.28,Low
293,5331,Bond,Banking ETF,2023-05-14,462.48499,4958.36,3055532.03,Low
294,10760,ETF,Healthcare Fund,2024-09-18,174.935226,537.06,107684.27,High
295,19394,ETF,SENSEX ETF,2024-08-20,296.149333,3857.65,1285016.45,Low
296,12505,Equity,Healthcare Fund,2022-04-29,256.158071,1340.53,271809.49,High
297,17154,Bond,Mid Cap Fund,2024-02-20,322.893288,669.91,223792.83,Low
298,16906,Fixed Deposit,NIFTY 50 ETF,2024-07-24,920.376884,2627.8,2708554.46,Low
299,22652,Bond,Healthcare Fund,2024-09-11,225.390996,1892.23,430434.27,Low
300,686,Bond,NIFTY 50 ETF,2024-06-06,943.132762,1241.43,963478.86,Low
301,10737,Fixed Deposit,Energy Fund,2024-07-31,286.620882,4088.94,1484683.5,Low
302,302,Bond,Technology Fund,2022-08-26,636.434693,1144.26,973697.0,Low
303,23388,ETF,SENSEX ETF,2024-02-09,320.739773,3778.28,1104715.33,High
304,4083,Fixed Deposit,Banking ETF,2022-03-29,685.612718,504.76,459954.62,Low
305,8707,ETF,Mid Cap Fund,2022-01-19,414.003033,3803.02,1883139.7,Low
306,3301,Fixed Deposit,Technology Fund,2022-12-28,94.663164,2907.01,351215.64,Low
307,16833,Bond,Corporate Bond Fund,2025-02-01,10.322288,1271.06,15559.0,Low
308,6446,Mutual Fund,Banking ETF,2024-07-11,657.902752,1589.1,1249766.56,Medium
309,14934,Bond,Healthcare Fund,2023-08-25,356.029184,3929.77,1514589.6,Low
310,19874,Bond,Large Cap Fund,2025-11-01,36.276044,3741.38,118280.61,Low
311,23763,ETF,Large Cap Fund,2023-11-29,756.508393,4217.75,3293481.12,High
312,16611,ETF,Healthcare Fund,2024-04-01,449.16202,3624.25,2086477.06,High
