complaint_id,customer_id,branch_id,complaint_date,complaint_type,channel,priority,resolution_status,resolution_date
20,2434,31,2022-04-15 05:54:56,Fraud Concern,Web,Medium,Resolved,2022-04-16 05:54:56
21,5312,28,2025-08-04 11:02:15,Investment Service,Web,Medium,Resolved,2025-09-01 11:02:15
22,5052,7,2025-09-12 18:51:36,Investment Service,Web,Low,In Progress,
23,6421,9,2023-08-11 01:37:24,Credit Card,Web,Medium,Resolved,2023-08-28 01:37:24
24,17569,39,2024-04-12 14:33:32,Transaction Issue,Branch,High,In Progress,
25,20940,99,2022-01-01 13:19:32,Transaction Issue,Mobile,Low,Resolved,2022-01-13 13:19:32
26,19770,43,2023-02-13 16:56:05,Account Service,Phone,Medium,Resolved,2023-03-04 16:56:05
27,6397,27,2024-03-05 10:13:28,Digital Banking,Web,Low,In Progress,
28,8667,76,2023-07-29 04:15:32,ATM Issue,Mobile,Medium,Resolved,2023-08-02 04:15:32
29,18943,89,2022-07-26 05:43:29,Credit Card,Branch,High,Resolved,2022-08-08 05:43:29
30,24234,93,2025-01-13 08:25:38,ATM Issue,Mobile,Medium,Resolved,2025-02-04 08:25:38
31,18432,95,2022-07-31 07:07:22,Credit Card,Web,Medium,Resolved,2022-08-23 07:07:22
32,2748,98,2023-07-30 10:43:21,Account Service,Mobile,Low,Resolved,2023-08-17 10:43:21
33,190,33,2024-01-21 00:47:30,Transaction Issue,Mobile,Low,Resolved,2024-01-22 00:47:30
34,19119,91,2025-02-12 10:56:08,Fraud Concern,Branch,Low,Open,
35,3006,56,2022-02-10 14:16:07,Account Service,Phone,Medium,Resolved,2022-02-18 14:16:07
36,21043,2,2025-11-12 09:54:55,Transaction Issue,Branch,Medium,Resolved,2025-12-01 09:54:55
37,1900,14,2023-02-10 08:25:32,Account Service,Web,Low,Resolved,2023-02-24 08:25:32
38,24119,13,2025-02-20 10:16:28,Transaction Issue,Phone,Critical,Resolved,2025-03-14 10:16:28
39,1268,24,2025-09-25 23:59:58,Account Service,Mobile,Low,In Progress,
40,17913,69,2025-01-16 04:09:25,Digital Banking,Web,High,Resolved,2025-01-24 04:09:25
41,11395,34,2023-05-15 23:21:03,Account Service,Mobile,Low,Open,
42,3557,87,2025-12-14 10:35:00,Credit Card,Mobile,High,Resolved,2025-12-31 10:35:00
43,3891,19,2025-08-06 16:32:57,Account Service,Mobile,Medium,Resolved,2025-08-09 16:32:57
44,8839,30,2024-05-19 07:56:17,Transaction Issue,Mobile,High,In Progress,
45,14503,49,2023-08-25 20:14:16,Fraud Concern,Mobile,Medium,Resolved,2023-09-08 20:14:16
46,21778,43,2024-10-04 13:01:43,Account Service,Phone,Medium,Resolved,2024-10-22 13:01:43
47,10628,16,2025-11-27 08:28:15,Digital Banking,Web,Medium,Resolved,2025-12-19 08:28:15
48,8793,52,2024-12-27 22:53:33,ATM Issue,Branch,Medium,Resolved,2025-01-10 22:53:33
49,10556,98,2025-09-14 01:18:28,Digital Banking,Mobile,High,Resolved,2025-10-13 01:18:28
50,10254,49,2024-02-29 00:21:41,Digital Banking,Phone,Medium,Resolved,2024-03-07 00:21:41
51,8434,11,2025-10-04 22:00:30,Loan Service,Branch,Medium,Resolved,2025-11-02 22:00:30
52,10234,78,2024-02-08 20:26:00,Investment Service,Branch,Low,Resolved,2024-03-09 20:26:00
53,11017,47,2022-02-20 08:13:52,ATM Issue,Mobile,High,Resolved,2022-03-16 08:13:52
54,23898,79,2025-08-03 13:45:16,Loan Service,Web,Low,Resolved,2025-08-23 13:45:16
55,2613,35,2024-02-12 10:28:51,Fraud Concern,Mobile,Low,Resolved,2024-03-03 10:28:51
56,23426,71,2025-02-27 12:20:36,Account Service,Mobile,Low,Resolved,2025-03-24 12:20:36
57,22620,29,2025-06-20 11:56:24,Credit Card,Phone,Medium,Resolved,2025-06-24 11:56:24
58,21871,54,2023-12-27 11:58:07,Digital Banking,Branch,Medium,Resolved,2024-01-09 11:58:07
59,23484,86,2022-08-18 13:06:39,Digital Banking,Web,Low,In Progress,
60,15788,23,2023-09-04 03:22:35,Account Service,Web,Medium,Resolved,2023-09-10 03:22:35
61,17160,24,2022-05-24 19:01:40,Investment Service,Branch,Low,Resolved,2022-06-02 19:01:40
62,12207,99,2024-05-01 12:17:56,Digital Banking,Mobile,Medium,Resolved,2024-05-23 12:17:56
63,8227,10,2022-04-10 09:44:59,Digital Banking,Branch,Medium,In Progress,
64,14542,61,2024-04-14 07:32:11,Loan Service,Mobile,Low,Resolved,2024-05-10 07:32:11
65,3153,8,2025-05-13 22:00:50,Credit Card,Mobile,Low,Resolved,2025-05-31 22:00:50
66,1586,48,2023-07-26 17:52:55,Loan Service,Mobile,Low,In Progress,
67,3944,76,2024-02-29 16:32:13,Digital Banking,Branch,Medium,Resolved,2024-03-10 16:32:13
68,23940,93,2024-05-28 04:54:47,Credit Card,Web,Low,In Progress,
69,19458,29,2024-01-09 02:21:07,Investment Service,Mobile,Medium,Resolved,2024-01-27 02:21:07
70,1022,87,2024-09-25 09:51:27,ATM Issue,Phone,Medium,In Progress,
71,11654,26,2023-02-09 18:45:59,Loan Service,Web,Low,Resolved,2023-02-17 18:45:59
72,10806,37,2022-03-21 11:23:53,Account Service,Branch,Low,Resolved,2022-04-14 11:23:53
73,13418,96,2025-04-17 16:58:27,Transaction Issue,Web,Medium,In Progress,
74,20228,52,2025-08-20 13:33:52,ATM Issue,Phone,Medium,Open,
75,7990,38,2023-10-06 07:22:27,Investment Service,Web,High,Resolved,2023-10-13 07:22:27
76,9693,6,2025-09-29 01:26:17,ATM Issue,Web,Low,Resolved,2025-10-18 01:26:17
77,12991,8,2025-07-20 21:49:02,Digital Banking,Web,High,In Progress,
78,6874,17,2022-08-01 08:55:03,Digital Banking,Web,Low,Open,
79,5676,76,2025-06-05 21:27:58,ATM Issue,Web,Low,In Progress,
80,162,62,2022-09-02 13:36:27,Account Service,Branch,Medium,Resolved,2022-09-24 13:36:27
81,4298,86,2024-03-15 01:29:45,Account Service,Phone,Medium,Resolved,2024-03-28 01:29:45
82,996,78,2022-01-26 17:54:13,Loan Service,Branch,Low,Resolved,2022-01-27 17:54:13
83,11535,34,2025-02-15 01:53:18,Credit Card,Web,Low,In Progress,
84,7630,19,2022-02-02 08:43:26,Loan Service,Mobile,Low,In Progress,
85,1017,70,2022-11-13 00:29:14,Loan Service,Web,Low,Resolved,2022-11-16 00:29:14
86,24254,82,2023-05-01 04:09:45,ATM Issue,Web,Medium,Resolved,2023-05-12 04:09:45
87,22824,100,2022-07-18 22:13:40,Loan Service,Phone,Medium,Resolved,2022-07-28 22:13:40
88,24277,37,2023-09-23 22:58:26,Account Service,Branch,Critical,Resolved,2023-10-03 22:58:26
89,23248,38,2025-05-28 21:10:27,Credit Card,Branch,Medium,Resolved,2025-05-30 21:10:27
90,24301,15,2022-09-19 01:57:41,Account Service,Mobile,Low,Resolved,2022-10-03 01:57:41
91,8530,40,2022-08-09 15:43:58,ATM Issue,Mobile,Critical,Resolved,2022-08-25 15:43:58
92,17263,9,2023-04-21 04:35:49,Loan Service,Mobile,Medium,Resolved,2023-05-16 04:35:49
93,9269,53,2022-11-13 08:57:50,Digital Banking,Web,Medium,Resolved,2022-11-26 08:57:50
94,21272,70,2022-11-13 13:01:57,Fraud Concern,Branch,Low,Open,
95,12186,66,2025-06-15 06:28:01,Loan Service,Mobile,Low,Resolved,2025-06-25 06:28:01
96,21244,80,2025-01-17 10:13:30,Investment Service,Phone,High,In Progress,
97,6332,52,2025-07-29 12:38:03,Fraud Concern,Branch,Medium,Resolved,2025-08-10 12:38:03
98,8572,1,2022-12-14 18:46:53,Account Service,Web,Medium,Resolved,2022-12-27 18:46:53
99,7209,30,2025-06-25 02:58:47,Fraud Concern,Branch,High,Resolved,2025-07-17 02:58:47
100,5277,97,2022-12-26 19:05:59,Investment Service,Branch,High,Resolved,2023-01-14 19:05:59
101,18447,1,2024-12-28 00:01:25,Fraud Concern,Branch,Low,Resolved,2025-01-19 00:01:25
102,16449,39,2024-10-19 19:26:21,ATM Issue,Branch,Critical,Resolved,2024-11-06 19:26:21
103,16217,16,2023-12-15 00:05:01,Investment Service,Mobile,Low,Resolved,2023-12-24 00:05:01
104,8007,17,2022-05-03 13:58:27,ATM Issue,Phone,High,Resolved,2022-05-05 13:58:27
105,2569,82,2022-06-16 04:58:25,Fraud Concern,Web,High,Open,
106,21848,22,2024-08-26 09:53:09,Digital Banking,Branch,Medium,Resolved,2024-09-03 09:53:09
107,2028,86,2025-12-10 20:48:37,Investment Service,Branch,Medium,Open,
108,2696,99,2023-01-26 22:28:41,ATM Issue,Mobile,Medium,Resolved,2023-01-29 22:28:41
109,15423,31,2023-09-09 09:59:46,Account Service,Mobile,Medium,Open,
110,5259,40,2025-12-27 06:24:01,Investment Service,Branch,Low,Resolved,2026-01-21 06:24:01
111,22003,27,2023-09-22 06:35:47,Fraud Concern,Phone,Low,Resolved,2023-09-27 06:35:47
112,6737,36,2024-05-24 18:24:55,Fraud Concern,Web,High,Resolved,2024-06-10 18:24:55
113,392,4,2023-12-04 06:46:28,Transaction Issue,Mobile,Medium,In Progress,
114,13987,69,2024-03-25 04:03:58,Account Service,Mobile,Medium,Resolved,2024-04-19 04:03:58
115,12667,25,2023-06-09 18:35:14,ATM Issue,Phone,Low,In Progress,
116,5893,95,2023-04-13 04:54:52,Loan Service,Mobile,High,Resolved,2023-05-07 04:54:52
117,3562,78,2023-06-08 10:30:23,Credit Card,Web,Low,Resolved,2023-07-08 10:30:23
118,6185,30,2022-02-03 14:16:47,Loan Service,Branch,Low,Resolved,2022-02-05 14:16:47
119,19484,47,2025-11-11 22:45:17,ATM Issue,Web,Low,Resolved,2025-12-01 22:45:17
120,22663,12,2023-11-26 20:31:07,Fraud Concern,Web,High,Resolved,2023-11-28 20:31:07
121,8393,27,2023-07-29 16:41:56,Account Service,Web,High,Resolved,2023-08-21 16:41:56
122,13068,45,2022-04-20 16:11:52,Transaction Issue,Branch,High,Open,
123,15266,88,2023-05-14 08:04:26,Investment Service,Phone,Medium,Resolved,2023-05-16 08:04:26
124,19489,63,2025-12-11 01:38:15,Loan Service,Branch,High,In Progress,
125,23600,55,2024-02-04 15:01:15,Credit Card,Mobile,Medium,Resolved,2024-02-10 15:01:15
126,2455,30,2024-12-04 04:18:33,Fraud Concern,Phone,Low,Resolved,2024-12-11 04:18:33
127,11838,82,2022-08-16 09:53:35,Loan Service,Phone,Medium,Resolved,2022-09-06 09:53:35
128,14040,14,2024-06-27 17:19:34,Digital Banking,Mobile,High,Resolved,2024-07-26 17:19:34
129,19116,56,2025-10-12 03:01:23,Transaction Issue,Mobile,Medium,Resolved,2025-11-04 03:01:23
130,10966,19,2023-09-19 05:32:17,ATM Issue,Phone,Medium,Resolved,2023-10-13 05:32:17
131,24539,86,2022-12-03 17:31:07,Investment Service,Mobile,Low,Resolved,2022-12-07 17:31:07
132,9763,26,2022-06-18 16:46:42,Investment Service,Phone,Medium,Resolved,2022-06-23 16:46:42
133,5057,71,2022-05-31 14:45:09,Investment Service,Mobile,High,In Progress,
134,14949,92,2025-08-23 18:44:13,Account Service,Phone,Low,Resolved,2025-09-17 18:44:13
135,8111,38,2022-10-07 19:43:56,Investment Service,Branch,High,Resolved,2022-10-18 19:43:56
136,13774,69,2025-04-16 02:41:58,Investment Service,Branch,Low,Resolved,2025-05-04 02:41:58
137,20225,36,2025-07-20 22:43:55,Loan Service,Mobile,High,Resolved,2025-07-23 22:43:55
138,17413,18,2025-06-18 01:03:30,Loan Service,Mobile,Medium,Open,
139,23770,57,2025-11-13 03:04:50,Account Service,Phone,Low,Resolved,2025-12-03 03:04:50
140,503,78,2022-11-11 00:11:14,Loan Service,Web,Low,Open,
141,6911,23,2024-07-05 16:28:34,Loan Service,Mobile,High,In Progress,
142,12686,14,2023-07-18 15:22:26,Credit Card,Branch,Medium,Resolved,2023-08-05 15:22:26
143,23323,96,2025-06-01 05:13:10,Digital Banking,Mobile,Medium,Resolved,2025-06-22 05:13:10
144,20873,69,2025-08-14 17:47:08,Fraud Concern,Phone,Low,Resolved,2025-08-18 17:47:08
145,207,22,2025-09-15 11:06:53,Digital Banking,Phone,Low,Resolved,2025-10-14 11:06:53
146,21519,28,2022-06-20 09:37:24,Transaction Issue,Mobile,Medium,Resolved,2022-07-13 09:37:24
147,22362,43,2025-09-06 14:58:43,Transaction Issue,Mobile,Medium,In Progress,
148,24106,76,2023-04-14 03:28:37,Credit Card,Web,High,Resolved,2023-04-24 03:28:37
149,23420,18,2022-05-10 00:39:41,Investment Service,Web,Medium,In Progress,
150,17869,100,2024-01-26 22:44:55,Account Service,Phone,Low,Resolved,2024-02-16 22:44:55
151,24243,95,2023-04-11 20:24:17,Account Service,Web,Medium,Resolved,2023-04-26 20:24:17
152,15935,77,2022-12-23 05:10:19,Investment Service,Branch,Medium,Resolved,2023-01-07 05:10:19
153,17248,84,2024-07-06 23:43:10,Digital Banking,Mobile,Low,Resolved,2024-07-08 23:43:10
154,19175,36,2022-10-01 19:23:30,Investment Service,Mobile,High,Resolved,2022-10-14 19:23:30
155,23793,7,2024-04-18 21:03:45,Transaction Issue,Phone,Medium,Resolved,2024-05-01 21:03:45
156,8756,23,2025-04-30 19:56:13,ATM Issue,Mobile,Low,Resolved,2025-05-30 19:56:13
157,21501,34,2022-05-09 05:51:42,Digital Banking,Branch,High,In Progress,
158,12384,96,2025-06-29 11:55:34,Loan Service,Phone,High,Resolved,2025-07-26 11:55:34
159,22404,21,2024-06-08 04:18:19,Digital Banking,Mobile,High,Resolved,2024-06-20 04:18:19
160,18142,70,2023-02-12 17:34:41,ATM Issue,Branch,High,Open,
161,14821,80,2023-12-05 20:38:21,Loan Service,Phone,Low,In Progress,
162,7575,99,2022-10-25 09:23:16,Digital Banking,Branch,Critical,Resolved,2022-11-09 09:23:16
163,6375,47,2024-08-10 23:13:30,Loan Service,Mobile,Medium,Resolved,2024-08-23 23:13:30
164,23277,53,2025-03-23 11:55:58,Loan Service,Web,Medium,Resolved,2025-04-10 11:55:58
165,1679,84,2023-03-14 00:07:53,Credit Card,Phone,High,In Progress,
166,19627,41,2022-02-21 05:26:32,ATM Issue,Mobile,Medium,Open,
167,21021,75,2024-02-07 21:23:51,Credit Card,Phone,High,Resolved,2024-02-08 21:23:51
168,1060,32,2022-07-22 19:09:27,Investment Service,Phone,Medium,Resolved,2022-07-30 19:09:27
169,23053,14,2023-11-29 11:01:32,Digital Banking,Phone,Medium,Resolved,2023-12-29 11:01:32
170,16199,88,2024-02-22 20:54:04,Account Service,Branch,Medium,Resolved,2024-03-14 20:54:04
171,9915,95,2023-05-18 02:55:39,Fraud Concern,Phone,Medium,Resolved,2023-05-25 02:55:39
172,19542,17,2025-08-03 16:12:30,Account Service,Web,Medium,Open,
173,22300,25,2024-08-16 17:41:01,Account Service,Mobile,Critical,Resolved,2024-08-23 17:41:01
174,10818,64,2025-02-21 08:22:56,Loan Service,Branch,Low,Resolved,2025-03-09 08:22:56
175,10922,73,2024-03-28 09:52:33,Investment Service,Phone,High,Resolved,2024-04-12 09:52:33
176,9790,86,2023-12-30 03:39:34,Digital Banking,Phone,Medium,Resolved,2024-01-16 03:39:34
177,16313,48,2023-11-11 20:32:03,Digital Banking,Mobile,High,Resolved,2023-11-23 20:32:03
178,11253,35,2024-09-19 14:38:04,Fraud Concern,Branch,Medium,Resolved,2024-09-22 14:38:04
179,2694,37,2024-08-13 12:10:49,Investment Service,Branch,High,Resolved,2024-08-28 12:10:49
180,13932,55,2024-10-17 18:13:08,Investment Service,Phone,Medium,Open,
181,3628,17,2023-01-23 04:58:20,Credit Card,Branch,High,Resolved,2023-02-14 04:58:20
182,16158,28,2025-02-14 18:59:12,Digital Banking,Web,Low,Resolved,2025-02-26 18:59:12
183,10174,1,2023-01-06 01:46:50,ATM Issue,Phone,High,Resolved,2023-02-04 01:46:50
184,21835,53,2023-01-09 03:29:53,Loan Service,Phone,High,Resolved,2023-01-23 03:29:53
185,18048,73,2024-04-10 22:47:36,Transaction Issue,Branch,Medium,Resolved,2024-05-01 22:47:36
186,10231,55,2022-07-13 21:18:29,Fraud Concern,Web,Medium,Resolved,2022-08-10 21:18:29
187,15708,61,2022-12-26 06:21:10,ATM Issue,Web,Medium,Resolved,2023-01-22 06:21:10
188,21977,13,2025-09-15 16:47:08,Account Service,Phone,Low,Resolved,2025-10-07 16:47:08
189,11495,47,2023-03-21 21:52:04,Transaction Issue,Web,Medium,Resolved,2023-04-10 21:52:04
190,23777,64,2024-08-20 09:36:24,Investment Service,Web,High,Resolved,2024-09-18 09:36:24
191,1307,32,2024-06-10 21:11:25,Investment Service,Web,Medium,Resolved,2024-07-04 21:11:25
192,6777,28,2022-01-30 21:26:33,Fraud Concern,Phone,Medium,Open,
193,22249,53,2025-04-06 17:46:44,Transaction Issue,Mobile,Medium,Open,
194,9475,31,2022-09-29 17:32:05,Investment Service,Phone,Low,Resolved,2022-10-27 17:32:05
195,7527,8,2024-10-07 06:28:57,Credit Card,Mobile,Medium,Resolved,2024-10-12 06:28:57
196,21960,72,2022-10-27 17:52:24,Transaction Issue,Web,High,Resolved,2022-11-22 17:52:24
197,5531,98,2022-08-03 10:28:52,Loan Service,Web,Medium,Resolved,2022-08-09 10:28:52
198,20798,87,2024-04-10 11:08:03,Credit Card,Phone,Medium,In Progress,
199,3749,74,2025-08-22 16:45:15,ATM Issue,Phone,Medium,Resolved,2025-09-10 16:45:15
200,13546,25,2023-09-08 08:08:52,ATM Issue,Branch,Low,Resolved,2023-09-28 08:08:52
201,664,33,2023-10-23 19:31:22,Investment Service,Branch,Low,Resolved,2023-11-04 19:31:22
202,1999,68,2022-04-06 18:05:16,ATM Issue,Web,Low,Resolved,2022-04-21 18:05:16
203,7995,7,2023-04-16 01:05:08,Fraud Concern,Phone,Low,Resolved,2023-04-17 01:05:08
204,17880,97,2022-01-03 07:24:20,Account Service,Phone,High,Resolved,2022-01-30 07:24:20
205,3305,66,2025-07-17 02:38:40,Digital Banking,Phone,Medium,Resolved,2025-08-16 02:38:40
206,20148,46,2025-01-24 23:49:08,Investment Service,Web,Low,In Progress,
207,21617,96,2023-01-11 11:06:44,Account Service,Branch,Medium,In Progress,
208,18238,5,2025-11-11 14:43:44,Credit Card,Phone,Medium,In Progress,
209,13809,17,2023-06-11 23:03:08,Credit Card,Phone,Low,Resolved,2023-06-20 23:03:08
210,6586,76,2023-01-12 19:24:19,Credit Card,Mobile,Low,Open,
211,17676,52,2024-06-24 23:23:51,Loan Service,Branch,Low,Open,
212,19966,12,2022-03-29 10:26:59,Credit Card,Phone,Medium,Resolved,2022-04-05 10:26:59
213,11650,62,2023-11-18 18:07:50,Loan Service,Phone,Low,Resolved,2023-12-13 18:07:50
214,23939,35,2023-05-11 08:49:09,Fraud Concern,Mobile,Medium,Resolved,2023-06-09 08:49:09
215,23665,62,2025-03-22 06:05:02,ATM Issue,Branch,Low,Resolved,2025-04-13 06:05:02
216,1637,21,2025-06-20 11:29:18,Digital Banking,Branch,Low,Resolved,2025-07-07 11:29:18
217,20081,85,2023-05-09 23:51:16,Transaction Issue,Phone,High,In Progress,
218,17083,66,2024-09-07 07:31:59,Account Service,Phone,Low,Resolved,2024-09-09 07:31:59
219,4738,53,2025-12-18 03:33:28,Account Service,Phone,Medium,In Progress,
220,14556,21,2025-06-27 18:32:28,Digital Banking,Mobile,Low,Resolved,2025-07-06 18:32:28
221,13878,15,2024-02-05 07:43:51,Digital Banking,Mobile,Medium,Resolved,2024-02-09 07:43:51
222,855,75,2022-08-28 11:22:44,Fraud Concern,Mobile,Low,In Progress,
223,24549,74,2023-06-14 06:49:33,Account Service,Mobile,High,Open,
224,5856,82,2025-11-01 18:27:37,Digital Banking,Mobile,Medium,In Progress,
225,7393,23,2024-06-02 19:43:18,Transaction Issue,Branch,Medium,Resolved,2024-06-11 19:43:18
226,22913,31,2024-11-25 09:07:27,Loan Service,Phone,Medium,Resolved,2024-12-21 09:07:27
227,13950,54,2022-05-09 02:10:05,ATM Issue,Branch,Low,Resolved,2022-06-08 02:10:05
228,21634,55,2025-02-04 04:13:46,Fraud Concern,Mobile,Medium,Resolved,2025-03-03 04:13:46
229,21557,26,2022-07-13 20:21:12,Transaction Issue,Phone,Low,Open,
230,18092,53,2025-05-08 15:57:26,Account Service,Web,Low,In Progress,
231,5792,66,2022-02-12 20:33:38,ATM Issue,Phone,Low,Resolved,2022-02-17 20:33:38
232,21920,39,2024-08-22 13:00:57,Loan Service,Phone,High,In Progress,
233,4932,7,2024-07-14 08:10:02,ATM Issue,Phone,Medium,Open,
234,19895,88,2023-01-23 09:03:11,Investment Service,Web,Medium,Resolved,2023-02-02 09:03:11
235,203,39,2022-12-01 16:43:00,Loan Service,Branch,High,In Progress,
236,11448,32,2023-08-18 10:55:07,Account Service,Phone,Medium,Resolved,2023-09-10 10:55:07
237,20603,26,2024-07-03 14:39:04,Transaction Issue,Branch,Medium,Resolved,2024-07-23 14:39:04
238,12689,87,2025-12-26 08:27:59,Transaction Issue,Branch,Critical,Resolved,2026-01-23 08:27:59
239,4390,78,2022-09-20 06:18:48,Account Service,Web,Low,Resolved,2022-09-29 06:18:48
240,2328,29,2024-08-12 11:45:59,Investment Service,Web,Low,Resolved,2024-08-21 11:45:59
241,8005,25,2024-06-23 14:59:40,Account Service,Phone,Medium,Resolved,2024-06-24 14:59:40
242,19316,56,2023-12-03 04:33:57,ATM Issue,Mobile,Medium,In Progress,
243,7778,31,2024-04-17 01:50:54,Fraud Concern,Mobile,Low,Resolved,2024-05-10 01:50:54
244,198,66,2022-09-08 19:33:42,ATM Issue,Mobile,Low,Resolved,2022-09-17 19:33:42
245,23510,2,2023-01-20 13:56:54,Digital Banking,Phone,Low,Resolved,2023-01-26 13:56:54
246,1931,87,2024-06-18 12:07:12,Digital Banking,Mobile,High,Resolved,2024-06-25 12:07:12
247,11775,47,2022-06-18 09:16:47,ATM Issue,Mobile,High,In Progress,
248,15088,75,2023-05-17 20:13:11,Digital Banking,Web,Low,Resolved,2023-05-22 20:13:11
249,22672,29,2025-08-15 13:26:45,Account Service,Web,Medium,In Progress,
250,9340,99,2025-06-25 09:21:58,ATM Issue,Phone,Medium,Resolved,2025-07-12 09:21:58
251,20667,49,2025-02-28 22:30:54,Credit Card,Mobile,Low,In Progress,
252,11590,73,2025-05-16 09:09:29,Digital Banking,Phone,High,Resolved,2025-05-22 09:09:29
253,18896,32,2022-12-20 22:39:42,Account Service,Mobile,Medium,Resolved,2022-12-31 22:39:42
254,15709,30,2023-04-20 16:46:33,ATM Issue,Branch,Low,In Progress,
255,17044,15,2023-06-09 18:12:42,Credit Card,Phone,Medium,Resolved,2023-06-14 18:12:42
256,2812,62,2025-09-22 08:55:27,Account Service,Web,High,Resolved,2025-09-30 08:55:27
257,23483,78,2025-08-11 00:20:49,Digital Banking,Mobile,Low,Resolved,2025-09-09 00:20:49
258,14244,17,2022-03-15 19:49:03,Transaction Issue,Mobile,Low,In Progress,
259,6547,22,2022-01-28 08:41:10,ATM Issue,Branch,Low,Resolved,2022-02-08 08:41:10
260,1987,30,2025-09-17 12:45:11,Investment Service,Branch,Low,Resolved,2025-10-01 12:45:11
261,8339,81,2024-02-27 16:44:43,Transaction Issue,Branch,Low,In Progress,
262,11412,16,2024-08-15 09:23:32,Fraud Concern,Branch,High,Resolved,2024-08-28 09:23:32
263,2912,52,2024-06-30 17:06:22,Digital Banking,Branch,Medium,In Progress,
264,1735,8,2023-04-27 13:17:04,Fraud Concern,Branch,Medium,Resolved,2023-05-13 13:17:04
265,18228,64,2024-07-29 04:52:05,Credit Card,Mobile,Low,Resolved,2024-08-27 04:52:05
266,8681,39,2022-02-04 07:45:48,ATM Issue,Web,Low,Open,
267,19361,31,2023-05-11 17:49:06,Credit Card,Web,High,In Progress,
268,18344,12,2023-08-31 01:09:08,Account Service,Phone,Low,Resolved,2023-09-05 01:09:08
269,5760,33,2025-03-28 09:01:12,Transaction Issue,Mobile,High,In Progress,
270,23079,58,2023-07-19 20:25:26,ATM Issue,Mobile,Medium,Resolved,2023-08-02 20:25:26
271,2386,12,2025-01-03 22:53:27,Fraud Concern,Web,Medium,Resolved,2025-01-16 22:53:27
272,11112,25,2023-05-15 11:39:01,Transaction Issue,Web,Low,Resolved,2023-05-29 11:39:01
273,4737,38,2023-01-11 14:21:28,Transaction Issue,Phone,Medium,Resolved,2023-01-28 14:21:28
274,1803,48,2025-11-24 03:26:42,Credit Card,Branch,High,Resolved,2025-12-11 03:26:42
275,8156,82,2023-11-29 14:26:56,Fraud Concern,Mobile,Low,Resolved,2023-12-01 14:26:56
276,8121,83,2024-02-13 06:47:05,Digital Banking,Web,Low,Resolved,2024-02-20 06:47:05
277,6617,55,2022-07-20 01:52:13,Investment Service,Mobile,Medium,Resolved,2022-08-15 01:52:13
278,14258,3,2023-10-01 13:28:29,Fraud Concern,Web,Medium,Resolved,2023-10-20 13:28:29
279,14487,99,2023-05-17 13:27:24,Transaction Issue,Branch,Medium,Resolved,2023-05-27 13:27:24
280,21919,69,2023-01-11 04:06:19,Account Service,Branch,Medium,Open,
281,20446,35,2024-06-22 01:18:19,Transaction Issue,Mobile,Medium,Resolved,2024-07-17 01:18:19
282,16647,51,2024-06-26 16:03:38,Loan Service,Web,Medium,In Progress,
283,14076,27,2025-08-13 13:41:07,Credit Card,Mobile,Low,Resolved,2025-09-09 13:41:07
284,22672,37,2022-10-30 20:03:35,Transaction Issue,Branch,Medium,Resolved,2022-11-16 20:03:35
285,9209,85,2022-10-04 20:28:05,Fraud Concern,Mobile,Medium,In Progress,
286,16372,16,2023-01-12 18:49:10,Loan Service,Web,High,In Progress,
287,11836,92,2024-07-08 05:07:09,Account Service,Branch,Critical,Resolved,2024-07-21 05:07:09
