alert_id,transaction_id,customer_id,alert_date,fraud_type,risk_level,fraud_status,fraud_amount
35,957738,11916,2023-09-27 15:39:45,Suspicious Merchant,Medium,False Positive,2748.02
36,543083,15250,2025-02-15 08:28:33,Suspicious Merchant,High,False Positive,259.69
37,529928,16547,2023-09-26 12:37:38,Suspicious Merchant,Low,Confirmed,157.1
38,66337,6958,2023-07-15 22:45:04,Geographic Anomaly,High,False Positive,83.48
39,272967,24601,2025-02-10 22:23:44,Velocity Anomaly,High,False Positive,3443.93
40,876376,12558,2025-06-24 06:27:12,Velocity Anomaly,Medium,Investigating,767.3
41,443182,18308,2025-05-17 18:33:29,Unusual Transaction,Medium,Investigating,487.98
42,38748,6486,2023-04-10 02:31:44,Geographic Anomaly,Medium,Confirmed,790.97
43,244519,6262,2024-03-24 21:47:41,Possible Account Takeover,Medium,Investigating,2393.8
44,321942,14729,2022-06-25 11:26:01,Geographic Anomaly,High,Investigating,337.0
45,212424,4890,2024-08-22 17:49:55,Possible Account Takeover,Medium,Open,708.42
46,684488,14941,2022-06-06 20:30:19,Unusual Transaction,Medium,Closed,1405.61
47,460022,15996,2022-10-26 12:49:49,High Value Transaction,Medium,Confirmed,2487.32
48,330798,24162,2023-03-31 21:35:20,Velocity Anomaly,Medium,Confirmed,12058.19
49,820288,8573,2024-09-22 03:43:33,Unusual Transaction,Low,Investigating,910.67
50,934969,20459,2022-03-17 20:10:06,Velocity Anomaly,Low,Confirmed,672.83
51,878903,24563,2023-04-22 07:19:45,Suspicious Merchant,Low,False Positive,1551.89
52,507015,13795,2023-11-12 03:36:00,High Value Transaction,Medium,Investigating,1019.62
53,63469,12198,2022-08-18 11:00:33,High Value Transaction,High,False Positive,1447.76
54,568671,906,2022-06-07 20:07:55,Unusual Transaction,High,False Positive,906.57
55,855772,13302,2023-02-23 13:14:43,High Value Transaction,Medium,Confirmed,199.39
56,606373,9915,2022-11-03 22:14:03,Possible Account Takeover,Low,False Positive,228.13
57,358901,24686,2024-10-27 02:25:36,High Value Transaction,Low,False Positive,2676.93
58,178393,7604,2024-02-25 14:06:45,Velocity Anomaly,Medium,Investigating,2168.75
59,921915,17445,2023-12-30 10:19:12,Velocity Anomaly,Medium,False Positive,6094.48
60,348366,10635,2023-01-18 00:25:17,Velocity Anomaly,Medium,False Positive,1099.5
61,377483,14101,2025-01-10 16:56:37,Velocity Anomaly,Low,False Positive,8521.73
62,44793,24218,2023-09-11 20:23:21,Possible Account Takeover,Low,Confirmed,5183.89
63,690928,3093,2025-11-06 23:01:00,Geographic Anomaly,Low,Closed,1241.81
64,50314,7230,2024-10-23 09:26:24,Suspicious Merchant,Low,Confirmed,1386.05
65,780882,2102,2024-06-04 02:27:32,Unusual Transaction,High,Confirmed,622.52
66,18959,18743,2025-11-24 22:59:48,Velocity Anomaly,Low,Confirmed,3698.88
67,804704,2543,2025-03-24 13:12:46,High Value Transaction,Medium,False Positive,305.9
68,8986,21365,2023-11-30 00:24:22,Velocity Anomaly,Medium,False Positive,1401.33
69,99902,14048,2023-01-17 14:14:09,High Value Transaction,High,Confirmed,184.91
70,655319,778,2023-08-02 00:05:19,Suspicious Merchant,High,Investigating,411.71
71,224929,6829,2024-12-11 11:49:14,Suspicious Merchant,High,False Positive,144.76
72,926626,12200,2022-05-27 11:35:24,Suspicious Merchant,Low,Closed,3101.35
73,67899,5523,2023-08-19 23:50:29,High Value Transaction,Medium,Investigating,5258.73
74,68879,20982,2023-04-19 05:59:01,Velocity Anomaly,High,False Positive,2104.47
75,904485,8591,2025-09-26 02:58:40,Suspicious Merchant,Low,Confirmed,14192.02
76,244300,1295,2022-11-30 08:03:53,Possible Account Takeover,Medium,False Positive,94.22
77,912238,8461,2024-12-10 12:46:54,High Value Transaction,High,False Positive,95.55
78,803685,13492,2023-04-13 18:47:46,High Value Transaction,Medium,Confirmed,1059.27
79,444937,19498,2023-10-08 05:32:57,Velocity Anomaly,Low,False Positive,74.81
80,895959,5458,2022-11-04 01:07:41,High Value Transaction,Low,Closed,2927.33
81,858829,9667,2025-05-14 23:30:36,High Value Transaction,Medium,Confirmed,732.93
82,575348,20131,2024-11-06 10:48:25,Suspicious Merchant,Low,Confirmed,2205.39
83,464017,5341,2025-07-05 00:23:33,Velocity Anomaly,High,Investigating,654.46
84,196830,16274,2024-06-16 16:18:02,Suspicious Merchant,High,Investigating,1702.81
85,309024,14485,2025-11-23 01:20:20,Suspicious Merchant,Low,False Positive,321.56
86,347382,11372,2025-07-01 13:05:22,Velocity Anomaly,High,Investigating,1934.27
87,310805,19043,2024-08-19 13:55:55,Unusual Transaction,Medium,False Positive,215.12
88,837524,1475,2023-12-20 03:17:44,Suspicious Merchant,Low,Confirmed,1225.52
89,268241,15378,2024-06-06 04:43:31,Possible Account Takeover,High,Closed,139.1
90,366138,18172,2025-03-18 21:42:52,Possible Account Takeover,High,Investigating,1177.67
91,449597,22394,2022-03-19 14:37:15,High Value Transaction,Medium,Open,830.51
92,586918,8509,2025-07-09 04:56:00,Possible Account Takeover,High,Open,946.97
93,980754,4953,2024-06-04 10:52:48,High Value Transaction,High,False Positive,412.02
94,51663,505,2022-01-31 11:22:57,Unusual Transaction,High,Confirmed,1784.21
95,892874,11991,2025-03-13 21:16:11,Velocity Anomaly,Medium,Open,597.83
96,576799,14655,2024-05-22 18:58:10,Velocity Anomaly,High,Closed,734.52
97,480867,8834,2024-09-05 22:18:37,Velocity Anomaly,Critical,Closed,549.38
98,550671,5515,2024-10-29 10:45:29,Possible Account Takeover,High,False Positive,443.36
99,584292,10635,2023-10-03 11:41:55,Unusual Transaction,Low,Investigating,6310.18
100,362132,22100,2024-09-12 18:27:32,Possible Account Takeover,Medium,Confirmed,627.06
101,33320,7009,2025-08-25 07:30:52,Possible Account Takeover,Medium,False Positive,700.89
102,215538,23786,2023-02-28 09:52:32,Unusual Transaction,Low,Confirmed,3601.37
103,126315,648,2023-07-01 20:38:16,Unusual Transaction,Critical,Investigating,626.56
104,460374,23111,2022-01-27 00:04:53,Unusual Transaction,Low,Investigating,4480.84
105,489380,16173,2024-11-28 04:15:26,Unusual Transaction,Low,Closed,884.46
106,63225,14063,2023-05-18 14:26:29,Velocity Anomaly,High,Investigating,2952.54
107,965340,11731,2025-10-15 06:43:11,Geographic Anomaly,Medium,False Positive,109.56
108,779636,4756,2024-11-08 15:49:17,Geographic Anomaly,Low,Confirmed,14606.19
109,695826,11321,2022-07-30 12:56:57,Unusual Transaction,Medium,False Positive,366.96
110,561881,6948,2024-10-05 19:33:42,Geographic Anomaly,Medium,False Positive,782.24
111,279995,10853,2024-10-02 02:39:20,Geographic Anomaly,Low,Confirmed,1751.55
112,876145,19202,2025-02-10 19:42:38,Unusual Transaction,Critical,Confirmed,1036.22
113,571750,1316,2025-09-29 08:12:25,Geographic Anomaly,Medium,False Positive,1555.73
114,435459,8790,2024-05-12 09:28:46,Possible Account Takeover,Medium,Confirmed,491.94
115,256148,23254,2024-08-14 08:52:36,High Value Transaction,Medium,False Positive,1104.35
116,527944,14750,2024-03-15 21:04:04,High Value Transaction,Medium,False Positive,384.53
117,330302,3250,2023-11-14 20:30:46,Unusual Transaction,Medium,False Positive,2284.61
118,872560,23684,2022-01-10 06:41:01,Velocity Anomaly,Medium,Confirmed,1363.59
119,69255,20548,2022-07-31 22:18:19,Unusual Transaction,Medium,Investigating,4597.68
120,678876,23193,2024-11-01 20:19:41,Velocity Anomaly,High,False Positive,333.98
121,275406,318,2025-02-24 18:01:07,High Value Transaction,Low,Open,258.49
122,943252,7949,2023-09-15 15:24:22,Unusual Transaction,Medium,Closed,2303.78
123,587306,18736,2025-01-02 16:55:26,Suspicious Merchant,High,Closed,6570.53
124,889146,11813,2024-05-17 20:28:20,Possible Account Takeover,Low,Investigating,722.21
125,379067,24575,2022-07-24 14:32:40,Geographic Anomaly,Low,Investigating,198.55
126,115772,9081,2023-10-22 04:43:28,Velocity Anomaly,Medium,Confirmed,538.85
127,517432,24774,2023-07-10 22:33:44,Suspicious Merchant,Medium,Closed,503.81
128,265974,338,2025-07-18 17:09:25,Geographic Anomaly,Low,Confirmed,2523.8
129,675595,23642,2023-03-28 22:07:47,Geographic Anomaly,Medium,Confirmed,817.04
130,400808,3589,2025-09-26 00:09:30,Unusual Transaction,Medium,False Positive,453.33
131,565511,20237,2023-07-15 15:34:16,Geographic Anomaly,Medium,Investigating,1718.96
132,100076,12873,2022-12-16 12:23:41,Possible Account Takeover,Medium,Confirmed,2002.85
133,701083,17051,2022-12-28 00:59:46,Suspicious Merchant,Medium,Confirmed,640.0
134,103661,21587,2022-01-31 17:50:42,Geographic Anomaly,High,False Positive,197.32
135,172272,18603,2023-03-16 01:59:18,Unusual Transaction,High,Investigating,6706.68
136,331228,9758,2024-06-09 22:43:42,Possible Account Takeover,High,False Positive,172.94
137,259150,21330,2025-02-02 15:43:28,High Value Transaction,Medium,Closed,58.49
138,938627,19385,2022-09-21 04:22:07,Suspicious Merchant,Medium,False Positive,193.02
139,606358,19405,2022-07-27 09:05:47,Geographic Anomaly,Medium,False Positive,1063.49
140,990307,8704,2025-09-08 13:10:05,Unusual Transaction,Low,Open,285.23
141,829830,919,2022-01-21 06:36:50,High Value Transaction,Low,Confirmed,1912.05
142,875278,24460,2024-08-23 19:51:38,High Value Transaction,High,Open,201.36
143,256730,14492,2025-07-19 15:12:25,Velocity Anomaly,Medium,False Positive,2394.52
144,246896,295,2023-06-19 09:44:30,Possible Account Takeover,Medium,Confirmed,524.82
145,40811,16423,2023-06-19 00:19:31,Geographic Anomaly,Critical,Confirmed,2281.95
146,314675,10312,2025-12-06 11:50:52,Unusual Transaction,Low,Open,1978.16
147,20474,14074,2023-06-02 05:24:52,Velocity Anomaly,Low,Confirmed,2334.27
148,525061,8260,2022-11-13 05:17:25,Possible Account Takeover,Low,False Positive,2288.9
149,582947,24970,2025-07-27 20:05:59,Velocity Anomaly,Medium,False Positive,916.17
150,881795,14097,2024-01-01 21:40:09,Suspicious Merchant,Medium,Open,3778.12
151,974159,8102,2025-11-10 09:24:50,Possible Account Takeover,Medium,False Positive,25100.11
152,422759,14464,2024-10-09 23:41:02,Possible Account Takeover,Medium,Confirmed,111.24
153,673533,11211,2025-12-18 05:54:55,Geographic Anomaly,High,False Positive,236.3
154,826661,15858,2023-11-24 23:38:29,Possible Account Takeover,High,False Positive,6351.69
155,733811,2531,2022-05-30 08:36:07,Velocity Anomaly,Critical,Confirmed,6274.11
156,837316,9884,2024-01-09 03:25:27,Possible Account Takeover,High,Investigating,147.65
157,570267,7787,2025-08-29 04:25:56,Geographic Anomaly,Medium,False Positive,1379.63
158,6299,10907,2022-01-26 07:04:42,Geographic Anomaly,Low,Closed,5047.49
159,996136,9611,2024-09-12 18:09:58,Suspicious Merchant,Low,False Positive,244.32
160,711525,8370,2024-10-17 18:09:35,Velocity Anomaly,Low,False Positive,2157.98
161,959376,23926,2024-03-22 00:23:26,High Value Transaction,High,False Positive,48.05
162,55071,21136,2023-09-25 20:57:26,High Value Transaction,High,False Positive,2306.11
163,21220,2252,2023-10-08 19:07:28,Possible Account Takeover,Medium,False Positive,1653.74
164,430194,8934,2023-10-10 09:23:41,Suspicious Merchant,Low,Confirmed,9645.51
165,992620,13122,2025-09-03 14:55:45,Unusual Transaction,Medium,False Positive,900.17
166,123552,70,2025-07-12 19:22:15,Possible Account Takeover,High,False Positive,6458.36
167,432317,20560,2025-05-30 23:44:15,Suspicious Merchant,Medium,False Positive,33317.15
168,274637,215,2023-04-04 01:01:41,Velocity Anomaly,High,Confirmed,7385.26
169,115139,19507,2024-02-26 23:32:39,Velocity Anomaly,High,Open,141.95
170,431447,4600,2025-07-09 23:22:40,Velocity Anomaly,High,False Positive,11386.24
171,92661,6233,2024-11-15 02:53:35,Velocity Anomaly,High,False Positive,1314.58
172,450103,2642,2024-06-27 22:03:03,Velocity Anomaly,High,Closed,5585.28
173,348667,5710,2025-11-24 03:00:02,Suspicious Merchant,Low,Confirmed,1093.55
174,344475,22884,2024-07-20 23:53:40,Suspicious Merchant,Low,Open,354.82
175,483616,13963,2023-03-01 03:56:42,Geographic Anomaly,Medium,Investigating,509.23
176,508946,1725,2025-06-09 19:36:22,High Value Transaction,Low,False Positive,1913.73
177,481189,5936,2025-06-22 11:15:36,Velocity Anomaly,Critical,Open,184.36
178,441452,9025,2023-10-25 20:28:53,Unusual Transaction,Medium,Closed,519.43
179,531788,5545,2024-10-30 02:56:46,Suspicious Merchant,High,Confirmed,506.34
180,556419,2536,2025-10-18 16:25:54,Unusual Transaction,Medium,Closed,3181.14
181,973424,15544,2022-10-09 10:39:36,Unusual Transaction,Medium,False Positive,121.75
182,386543,1455,2023-01-07 06:29:27,Unusual Transaction,High,Closed,941.31
183,25769,22064,2023-01-05 10:58:49,Geographic Anomaly,Medium,Investigating,166.85
184,470129,2685,2023-10-18 09:29:30,Suspicious Merchant,Medium,False Positive,2992.65
185,931865,18874,2024-06-20 15:51:30,Unusual Transaction,Low,Open,382.38
186,488470,16912,2022-08-28 10:50:45,Velocity Anomaly,High,Investigating,3807.32
187,200615,2260,2025-09-05 17:37:44,Possible Account Takeover,Medium,Confirmed,2709.98
188,694207,8898,2022-08-15 08:59:36,Unusual Transaction,Medium,False Positive,247.19
189,969440,15086,2025-07-10 06:31:32,Geographic Anomaly,Medium,Open,1341.93
190,802842,8577,2023-12-23 18:14:51,Suspicious Merchant,High,Closed,499.17
191,98606,161,2022-04-13 15:22:01,Geographic Anomaly,High,Open,1292.65
192,303098,8744,2022-04-15 00:16:59,Unusual Transaction,Medium,Confirmed,2078.07
193,765404,9511,2024-02-21 10:52:53,Suspicious Merchant,Medium,Open,2010.33
194,727933,7186,2022-02-17 10:11:56,Possible Account Takeover,High,False Positive,228.77
195,519049,18931,2022-12-28 09:09:22,Unusual Transaction,Medium,Investigating,75.98
196,538357,6478,2022-01-03 13:30:54,Geographic Anomaly,Medium,Closed,1284.55
197,442080,16454,2022-08-04 06:20:09,High Value Transaction,Medium,False Positive,1459.81
198,421034,20849,2022-11-03 03:02:56,Velocity Anomaly,High,Closed,228.24
199,185499,18488,2022-04-24 07:38:14,Geographic Anomaly,Medium,Confirmed,236.55
200,62037,9211,2025-06-06 09:38:11,Suspicious Merchant,Medium,Confirmed,2301.52
201,26707,11814,2024-03-08 17:23:12,Unusual Transaction,High,False Positive,356.58
202,178229,11588,2022-02-02 23:25:59,Velocity Anomaly,Medium,False Positive,432.46
203,265705,4653,2023-02-22 10:01:12,Unusual Transaction,Low,Confirmed,815.23
204,198494,1613,2022-04-15 20:33:46,Suspicious Merchant,Medium,Closed,853.15
205,373299,1128,2024-03-11 00:36:52,Unusual Transaction,High,Investigating,324.95
206,836406,21647,2024-06-09 20:23:15,High Value Transaction,Critical,False Positive,679.84
207,160614,11016,2025-06-18 17:43:45,Velocity Anomaly,Medium,Confirmed,834.28
208,71973,21426,2023-08-22 15:47:39,Velocity Anomaly,Medium,Investigating,603.7
209,803049,18162,2024-09-06 20:20:38,Suspicious Merchant,Low,Confirmed,870.15
210,45679,13928,2024-10-05 02:35:45,High Value Transaction,High,Closed,24.14
211,599915,21320,2023-07-23 04:52:09,Geographic Anomaly,High,Closed,1380.24
212,352278,14249,2023-10-16 02:58:26,Unusual Transaction,Low,Confirmed,303.07
213,458904,22288,2022-09-27 05:57:22,Possible Account Takeover,Low,Closed,1575.23
214,777380,6338,2024-02-02 05:08:42,Unusual Transaction,High,False Positive,782.71
215,841963,18020,2023-07-13 16:47:03,Unusual Transaction,Medium,False Positive,2377.98
216,488709,7886,2023-01-10 09:01:27,Geographic Anomaly,Medium,Open,68.01
217,360636,13312,2024-10-06 16:54:18,Unusual Transaction,Low,False Positive,156.57
218,384369,23045,2023-09-22 22:59:04,High Value Transaction,Medium,Open,294.47
219,194703,10268,2023-01-24 03:19:20,High Value Transaction,Medium,Confirmed,112.1
220,186263,20620,2024-10-17 05:56:03,Velocity Anomaly,High,False Positive,1144.27
221,743972,23647,2023-04-19 15:45:20,Suspicious Merchant,Medium,False Positive,1620.24
222,768295,9063,2024-03-22 07:14:42,Possible Account Takeover,Medium,False Positive,166.85
223,394961,19220,2025-12-27 03:39:56,Unusual Transaction,Medium,Closed,813.55
224,573358,22874,2022-05-29 10:41:35,Unusual Transaction,Medium,False Positive,307.16
225,928830,23253,2023-11-17 01:46:27,Geographic Anomaly,Low,Investigating,863.12
226,852652,10415,2022-11-25 19:58:28,Suspicious Merchant,Medium,Confirmed,314.6
227,736363,10674,2023-09-26 01:26:35,High Value Transaction,High,False Positive,239.59
228,723093,9936,2024-04-18 14:44:45,Possible Account Takeover,Low,Closed,217.44
229,496376,17690,2023-07-11 00:30:36,Velocity Anomaly,Low,Closed,507.1
230,189081,11762,2022-03-24 19:58:36,High Value Transaction,Low,False Positive,189.02
231,829339,9484,2024-03-01 09:15:42,Suspicious Merchant,Medium,False Positive,5782.88
232,414039,2293,2023-05-16 19:57:36,Velocity Anomaly,High,False Positive,191.61
233,773850,12279,2022-03-13 14:56:58,Geographic Anomaly,Low,Confirmed,1166.85
234,199528,24338,2023-12-06 04:06:02,Geographic Anomaly,High,Confirmed,942.21
235,532187,1072,2024-03-26 05:30:52,Unusual Transaction,Low,False Positive,346.7
236,920814,16656,2024-05-20 20:35:44,Suspicious Merchant,High,Closed,622.97
237,935026,10062,2023-10-29 04:48:08,Possible Account Takeover,Medium,Closed,209.69
238,514450,10563,2022-09-14 00:55:37,Velocity Anomaly,High,Confirmed,541.75
239,941566,21396,2024-10-07 03:38:24,High Value Transaction,Medium,False Positive,291.34
240,158993,9071,2022-06-01 18:57:15,Suspicious Merchant,Medium,Closed,189.7
241,995279,14472,2024-05-01 19:03:20,Suspicious Merchant,High,False Positive,32.86
242,607357,9409,2024-03-11 21:36:57,Geographic Anomaly,High,Confirmed,238.45
243,567224,19269,2024-10-24 18:03:21,Unusual Transaction,Medium,False Positive,188.93
244,924645,23872,2025-07-30 15:47:40,Unusual Transaction,Low,False Positive,1716.02
245,120647,21650,2024-08-19 21:14:55,Velocity Anomaly,Low,False Positive,213.19
246,98151,1899,2025-12-17 05:52:12,Geographic Anomaly,High,False Positive,1202.76
247,740316,21197,2023-12-21 02:18:18,Suspicious Merchant,Medium,False Positive,460.81
248,795487,20415,2023-07-13 11:26:31,Possible Account Takeover,Medium,Investigating,359.93
249,638309,20045,2022-08-12 23:43:28,Geographic Anomaly,High,Confirmed,481.14
250,859619,9891,2023-05-11 11:52:22,Velocity Anomaly,High,False Positive,31.17
251,30321,24871,2022-03-15 05:21:42,Velocity Anomaly,Medium,Confirmed,1217.72
252,622550,2313,2025-02-21 06:16:54,Geographic Anomaly,High,Closed,2871.58
253,27964,13928,2024-11-30 01:03:57,Velocity Anomaly,High,Confirmed,482.54
254,896188,748,2025-05-09 15:39:06,Geographic Anomaly,Medium,Confirmed,107.34
255,528533,20626,2025-03-13 03:11:33,High Value Transaction,Medium,Closed,1312.75
256,91198,14450,2024-01-30 05:09:33,Geographic Anomaly,High,Open,551.75
257,644428,6994,2025-11-26 23:29:33,Geographic Anomaly,Medium,False Positive,223.03
258,361513,13784,2023-01-02 03:06:36,Velocity Anomaly,High,False Positive,37.78
259,705986,12881,2023-12-01 08:58:43,Velocity Anomaly,Low,Open,656.11
260,735053,11492,2025-10-25 14:57:50,Unusual Transaction,Low,Closed,394.31
261,15921,23476,2022-08-25 15:22:06,Unusual Transaction,High,Open,1967.51
262,871824,13917,2022-03-02 09:19:33,High Value Transaction,Medium,False Positive,3381.55
263,346149,23615,2022-08-13 11:27:20,Unusual Transaction,Medium,Open,9246.32
264,597099,22991,2024-04-25 22:02:46,Geographic Anomaly,High,Open,1484.67
265,306874,1953,2025-11-18 07:50:56,Velocity Anomaly,High,Closed,1104.72
266,909953,9851,2022-02-07 23:29:35,Unusual Transaction,Medium,False Positive,1810.01
267,950087,9002,2025-05-16 02:51:42,Unusual Transaction,Low,Investigating,898.56
268,759041,12660,2023-09-20 16:05:33,High Value Transaction,High,False Positive,2560.95
269,462526,16085,2022-07-20 14:26:27,Suspicious Merchant,High,False Positive,4848.73
270,662245,15675,2024-05-22 08:34:36,High Value Transaction,Low,Closed,4383.45
271,696213,9827,2024-12-17 15:48:35,Geographic Anomaly,High,Confirmed,254.14
272,141888,2684,2023-02-10 15:11:24,Velocity Anomaly,High,Closed,343.22
273,604825,6521,2023-10-26 19:11:30,High Value Transaction,Medium,False Positive,219.17
274,584243,5646,2022-06-13 02:00:08,Unusual Transaction,High,False Positive,1529.95
275,143249,3769,2025-04-20 09:17:37,Velocity Anomaly,Medium,Closed,894.31
276,455702,2109,2025-03-17 09:28:07,Velocity Anomaly,Medium,Investigating,272.29
277,122339,18816,2023-10-13 06:48:30,Unusual Transaction,High,Investigating,1791.92
278,716009,17659,2025-06-24 04:22:53,High Value Transaction,High,Confirmed,669.61
279,653637,23409,2024-05-23 17:49:21,Unusual Transaction,High,Investigating,85.04
280,358748,24715,2023-07-15 10:59:50,Suspicious Merchant,Medium,Confirmed,654.03
281,974039,8472,2023-09-19 07:50:00,Velocity Anomaly,Low,False Positive,723.58
282,321780,23039,2022-05-26 09:28:53,Possible Account Takeover,Low,Confirmed,759.66
283,540479,9270,2023-01-29 19:54:50,Possible Account Takeover,Medium,Confirmed,401.63
284,751997,12278,2022-12-10 22:34:07,Geographic Anomaly,Low,Confirmed,662.32
285,183569,14852,2022-02-28 16:51:03,Unusual Transaction,Medium,Investigating,420.04
286,749754,24669,2025-09-12 18:21:50,Unusual Transaction,Medium,Confirmed,1645.24
287,568229,7642,2023-06-01 20:30:32,Geographic Anomaly,High,False Positive,210.01
288,119620,19863,2025-12-25 05:22:07,Geographic Anomaly,Medium,Investigating,677.22
289,861635,9117,2024-10-24 22:27:33,Geographic Anomaly,Medium,Closed,766.99
290,780382,8388,2023-07-21 14:41:12,Velocity Anomaly,Medium,Confirmed,605.21
291,252027,19467,2023-06-01 05:16:53,Suspicious Merchant,Low,Closed,308.48
292,394958,12077,2024-04-03 04:31:17,Unusual Transaction,Low,Investigating,106.36
293,542973,16336,2024-05-22 20:18:21,Velocity Anomaly,Medium,False Positive,834.15
294,648862,19558,2025-08-24 20:34:40,Geographic Anomaly,High,False Positive,102.64
295,298013,2212,2022-09-23 06:47:05,Unusual Transaction,Low,False Positive,669.39
296,285676,5460,2024-06-08 12:06:46,Velocity Anomaly,High,False Positive,590.1
297,961339,2338,2023-09-11 23:58:22,Suspicious Merchant,Critical,Closed,859.91
298,432372,644,2023-01-26 06:22:33,Velocity Anomaly,High,False Positive,1880.52
299,307799,21306,2025-09-08 07:58:37,Suspicious Merchant,Low,False Positive,626.25
300,373281,7656,2022-11-09 12:13:35,Geographic Anomaly,High,Closed,1751.99
301,648369,23625,2025-03-24 13:39:51,Suspicious Merchant,Low,False Positive,510.01
302,49624,13164,2022-06-23 06:30:58,Unusual Transaction,Medium,False Positive,716.09
303,330567,12644,2023-09-18 21:58:23,Geographic Anomaly,High,Confirmed,3751.55
304,580404,9426,2024-05-11 08:33:05,Unusual Transaction,Medium,Closed,1026.38
305,148485,13456,2025-05-19 13:56:41,Possible Account Takeover,Medium,Confirmed,39730.25
306,696240,9806,2023-01-16 08:17:47,High Value Transaction,Medium,False Positive,1764.39
307,489114,2391,2023-09-16 08:17:04,Suspicious Merchant,Medium,Open,4680.04
308,964939,11604,2023-05-16 00:00:43,High Value Transaction,Medium,Confirmed,2233.75
309,352952,5360,2024-12-10 13:20:37,High Value Transaction,Medium,False Positive,503.75
310,214218,2443,2025-04-29 00:53:38,Suspicious Merchant,Critical,False Positive,1282.01
311,43275,1516,2022-07-25 17:16:14,Geographic Anomaly,High,Confirmed,544.46
312,762640,4389,2025-06-14 00:53:27,Possible Account Takeover,High,Investigating,418.2
313,480990,8739,2024-11-26 08:45:38,Unusual Transaction,Medium,Confirmed,224.23
314,125146,5407,2025-03-10 19:17:10,Velocity Anomaly,High,False Positive,501.73
315,655617,8513,2022-06-03 17:45:48,Unusual Transaction,High,Investigating,1252.61
316,522841,24040,2024-08-19 19:25:42,Velocity Anomaly,High,False Positive,713.72
317,696591,9384,2022-11-06 23:44:20,Unusual Transaction,Medium,False Positive,809.93
318,113388,20532,2023-07-26 06:52:52,Suspicious Merchant,Low,Closed,114.37
319,590300,3362,2025-10-15 00:23:08,Possible Account Takeover,Low,Open,4131.22
320,696608,15056,2025-07-04 21:14:10,Velocity Anomaly,Medium,Investigating,973.38
321,592288,11782,2024-12-12 19:09:00,Geographic Anomaly,Medium,False Positive,123.49
322,340742,2655,2025-08-04 19:48:32,Unusual Transaction,High,False Positive,1964.46
323,184781,12112,2025-06-25 17:51:58,Unusual Transaction,Medium,Open,172.8
