loan_id,customer_id,branch_id,loan_type,application_date,approval_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag,outstanding_amount
172,4685,50,Auto,2022-07-14,2022-07-30,209233.95,9.685,48,783,Active,False,50760.63
173,2511,72,Education,2022-06-25,2022-06-27,92025.61,12.319,48,709,Active,False,17018.28
174,24784,29,Business,2025-03-25,2025-03-27,227573.88,16.149,24,562,Active,False,43986.02
175,23570,4,Home,2024-08-17,2024-09-13,317984.59,13.558,36,759,Active,False,53314.54
176,12486,1,Business,2023-08-24,2023-09-15,266296.68,8.806,84,683,Active,False,57574.81
177,24623,75,Home,2025-05-18,2025-05-29,50000.0,10.41,12,676,Active,False,25286.29
178,48,77,Personal,2024-11-03,2024-11-04,354274.51,13.525,24,686,Active,False,174173.05
179,18626,96,Business,2025-06-08,2025-06-24,261610.37,10.316,36,826,Active,False,111508.17
180,23746,5,Home,2023-06-18,2023-06-19,103459.15,15.745,84,715,Active,False,64754.27
181,19319,43,Personal,2022-11-01,2022-11-06,1344825.65,16.14,48,850,Active,False,1242258.3
182,3878,38,Auto,2025-02-17,2025-03-08,120210.26,13.655,36,605,Active,False,16467.32
183,15724,47,Business,2024-02-29,2024-03-03,100071.96,15.948,120,690,Active,False,61745.05
184,23339,6,Education,2024-12-26,2025-01-12,144875.37,15.691,48,754,Active,False,46016.85
185,21390,74,Business,2025-05-21,2025-06-07,118147.5,12.461,24,669,Active,False,68951.59
186,2756,70,Home,2022-01-14,2022-01-21,50000.0,11.341,120,566,Active,False,33919.31
187,8478,27,Personal,2022-06-13,2022-06-29,56585.77,11.207,36,694,Active,False,49229.51
188,2024,100,Auto,2022-04-07,2022-04-29,174238.48,12.542,120,541,Active,False,30326.6
189,823,34,Home,2025-05-29,2025-06-27,234837.09,9.194,24,673,Active,False,64126.32
190,18575,65,Business,2022-04-24,2022-04-29,186362.1,15.757,60,824,Active,False,147417.96
191,23194,31,Education,2024-07-03,2024-07-08,50000.0,7.653,60,675,Defaulted,True,20896.35
192,4822,92,Home,2023-05-19,2023-06-01,117783.36,7.065,36,670,Active,False,70062.7
193,5156,13,Business,2023-05-22,2023-06-11,192074.73,13.114,60,693,Active,False,115432.25
194,21115,52,Auto,2025-06-15,2025-06-17,77629.04,12.38,120,777,Active,False,45679.39
195,5973,29,Home,2023-01-20,2023-01-21,142601.67,11.771,12,813,Active,False,87598.97
196,24893,91,Auto,2023-08-02,2023-08-22,364050.22,8.54,12,625,Active,False,117999.91
197,17738,16,Auto,2023-08-09,2023-08-14,50000.0,16.213,24,696,Active,False,16512.07
198,10319,96,Personal,2025-05-01,2025-05-22,50000.0,10.31,84,594,Active,False,12631.83
199,18415,60,Auto,2025-03-03,2025-03-28,818944.28,11.001,60,689,Active,False,553426.74
200,16540,96,Education,2024-08-18,2024-08-19,240602.82,10.883,120,718,Active,False,64580.21
201,18854,49,Home,2022-03-01,2022-03-10,1734078.32,9.115,24,675,Active,False,192714.12
202,7029,46,Education,2024-08-07,2024-08-30,107732.76,11.919,84,666,Active,False,26962.52
203,5250,32,Personal,2023-11-07,2023-12-07,162061.78,16.331,60,787,Active,False,148825.3
204,18159,100,Auto,2022-03-22,2022-04-12,316716.19,17.1,120,711,Active,False,48707.04
205,7799,81,Personal,2024-10-04,2024-10-07,50000.0,9.02,48,760,Active,False,38631.3
206,18184,58,Home,2025-04-07,2025-04-15,110669.97,9.498,12,789,Active,False,49233.96
207,12071,27,Business,2022-10-28,2022-11-15,50000.0,15.869,36,706,Active,False,17042.57
208,3764,75,Auto,2022-01-22,2022-02-06,109464.12,11.11,60,759,Active,False,97161.74
209,9109,90,Personal,2023-12-06,2023-12-16,521355.29,11.938,84,660,Active,False,98926.85
210,3520,1,Education,2022-01-26,2022-02-13,544299.6,15.05,48,706,Active,False,86145.64
211,15001,23,Home,2022-11-19,2022-12-04,155126.1,9.077,12,514,Active,False,133647.78
212,15720,13,Personal,2025-06-03,2025-06-08,233577.13,14.213,84,812,Active,False,134615.01
213,15382,87,Business,2023-12-20,2024-01-03,140876.83,8.672,60,799,Active,False,94237.32
214,21039,81,Personal,2023-12-04,2023-12-20,64630.7,16.17,48,666,Active,False,45917.54
215,7799,85,Home,2025-06-17,2025-07-04,411786.24,13.834,60,811,Active,False,361074.52
216,6472,47,Personal,2023-05-06,2023-05-13,308142.91,17.072,60,700,Active,False,136101.12
217,19050,93,Home,2022-05-19,2022-05-22,54789.99,13.914,36,645,Active,False,43983.65
218,3992,35,Home,2023-09-30,2023-10-06,128906.3,7.786,48,800,Active,False,24217.09
219,19828,14,Auto,2022-11-01,2022-11-10,50000.0,17.42,48,659,Active,False,11240.77
220,22941,100,Home,2025-05-14,2025-05-30,206214.17,16.019,120,714,Active,False,162336.12
221,4346,39,Auto,2022-05-20,2022-06-16,390297.4,9.806,12,632,Active,False,174908.92
222,18774,47,Education,2024-08-16,2024-08-30,96903.28,10.697,12,752,Active,False,68306.69
223,14479,87,Personal,2025-01-18,2025-01-22,68823.68,9.026,48,633,Active,False,34947.21
224,17620,12,Business,2025-06-21,2025-06-22,302534.13,11.658,36,762,Active,False,254140.39
225,11800,52,Personal,2022-06-11,2022-06-20,219729.15,9.788,12,767,Active,False,78015.25
226,23204,65,Home,2022-07-08,2022-07-23,485102.04,8.256,60,810,Active,False,76937.25
227,13791,46,Business,2022-06-20,2022-07-06,550681.77,13.917,36,635,Active,False,76809.15
228,15184,38,Business,2023-05-30,2023-06-17,137735.53,12.258,24,695,Active,False,104960.22
229,22834,97,Personal,2023-06-01,2023-06-19,246505.88,12.24,36,733,Active,False,46375.83
230,20655,4,Auto,2022-12-06,2023-01-02,71156.29,12.299,120,804,Active,False,61418.87
231,14268,74,Auto,2024-06-29,2024-07-07,174512.23,16.693,24,650,Active,False,118497.9
232,12224,33,Auto,2024-12-07,2024-12-21,102956.96,15.984,84,637,Active,False,38259.71
233,24796,76,Personal,2024-01-07,2024-01-11,198891.92,14.135,48,724,Active,False,63432.36
234,18439,71,Home,2024-05-30,2024-06-19,401618.43,11.111,24,735,Active,False,288413.62
235,5229,65,Education,2024-03-11,2024-03-23,236234.8,11.208,120,645,Active,False,75679.13
236,6284,27,Personal,2025-03-26,2025-04-12,197134.72,14.828,24,715,Active,False,121819.25
237,24087,51,Business,2022-06-23,2022-07-21,270814.35,7.777,36,749,Active,False,120207.01
238,10042,10,Personal,2023-02-05,2023-02-25,177644.89,12.373,48,744,Active,False,77086.11
239,1694,40,Personal,2025-02-25,2025-03-05,50000.0,12.16,12,657,Active,False,46728.13
240,9471,55,Personal,2024-09-17,2024-09-22,181381.14,16.682,12,622,Active,False,93329.78
241,9465,100,Business,2023-06-09,2023-07-02,130783.9,11.476,24,668,Active,False,113160.7
242,9408,50,Personal,2023-03-14,2023-03-20,89261.47,9.927,24,717,Active,False,56420.18
243,16338,69,Business,2022-08-17,2022-08-18,76919.54,14.017,84,817,Active,False,55524.38
244,9134,71,Personal,2022-04-06,2022-04-18,93157.76,12.918,120,673,Active,False,66026.58
245,13074,40,Education,2023-12-12,2024-01-07,221412.55,9.205,120,677,Active,False,97928.79
246,19775,42,Business,2023-08-25,2023-09-23,164610.85,8.976,24,616,Active,False,24149.53
247,18009,98,Auto,2022-07-23,2022-08-03,50000.0,14.969,60,779,Active,False,45266.07
248,15551,17,Personal,2022-01-16,2022-02-08,311392.48,10.965,24,729,Active,False,135525.13
249,20262,14,Business,2025-01-28,2025-02-13,63713.55,10.86,12,694,Active,False,47249.18
250,6894,91,Personal,2022-01-21,2022-02-17,169569.34,15.387,60,656,Active,False,65342.55
251,2817,6,Personal,2023-07-25,2023-08-12,248444.27,11.016,84,793,Active,False,122693.85
252,14872,13,Education,2024-03-31,2024-04-08,134842.67,10.935,48,595,Active,False,38996.48
253,11980,83,Home,2023-11-30,2023-12-27,93031.5,12.0,24,599,Defaulted,True,65418.8
254,21975,75,Home,2023-11-23,2023-12-14,271912.08,8.842,12,657,Active,False,27272.8
255,23569,96,Auto,2022-09-14,2022-09-23,89865.29,8.58,36,615,Active,False,35161.49
256,16356,26,Auto,2022-02-17,2022-03-10,125598.9,10.112,120,786,Active,False,60344.26
257,8496,36,Personal,2025-06-19,2025-07-04,140932.86,15.306,120,625,Active,False,80372.72
258,13467,60,Home,2022-03-09,2022-04-07,557386.76,15.992,120,644,Active,False,300237.82
259,12084,78,Auto,2023-06-02,2023-06-26,64095.27,11.412,12,812,Active,False,48449.33
260,8528,18,Personal,2024-11-25,2024-12-10,106158.09,10.963,120,732,Active,False,38980.95
261,3012,34,Auto,2024-02-14,2024-02-22,69681.03,11.722,120,744,Active,False,22101.13
262,7870,54,Education,2022-04-18,2022-05-12,147833.04,12.563,24,666,Active,False,97479.53
263,22625,65,Personal,2022-03-23,2022-03-31,176801.5,8.625,60,638,Active,False,121643.68
264,3612,78,Auto,2024-12-16,2025-01-15,127560.95,11.463,24,723,Defaulted,True,96250.6
265,12904,37,Personal,2025-03-05,2025-03-14,50000.0,12.882,120,676,Active,False,26790.19
266,21896,6,Personal,2023-03-27,2023-04-12,167207.77,17.848,24,761,Active,False,109966.49
267,19691,75,Personal,2022-01-20,2022-02-02,377545.63,8.217,48,654,Active,False,224942.84
268,75,52,Home,2023-05-11,2023-05-15,108993.07,16.544,120,638,Active,False,98000.51
269,10130,89,Personal,2024-04-11,2024-04-13,223560.4,15.794,60,777,Active,False,82424.96
270,16129,72,Personal,2024-03-26,2024-04-02,300757.45,8.068,24,716,Active,False,37547.72
271,9667,6,Personal,2024-12-07,2025-01-02,296629.47,10.995,48,719,Active,False,42575.57
272,13668,38,Home,2023-08-31,2023-09-09,99016.88,12.566,48,610,Active,False,34199.2
273,3600,47,Home,2022-04-18,2022-04-28,630901.21,10.293,84,746,Active,False,372886.94
274,24549,47,Home,2022-01-22,2022-02-03,94550.35,10.083,48,751,Active,False,36191.97
275,19012,7,Education,2023-02-16,2023-02-19,50000.0,16.936,48,752,Active,False,23540.57
276,386,21,Home,2024-10-05,2024-10-20,50000.0,15.603,60,758,Active,False,10139.08
277,6394,6,Business,2022-04-21,2022-05-06,134932.94,16.805,36,665,Active,False,75822.82
278,12623,85,Auto,2022-02-15,2022-02-27,190245.06,11.604,120,758,Active,False,72552.22
279,20785,89,Business,2022-02-28,2022-03-12,108775.56,14.231,24,819,Active,False,73566.12
280,24434,27,Business,2024-04-29,2024-05-09,151516.42,17.732,60,763,Active,False,108011.04
281,20339,57,Auto,2024-09-02,2024-09-18,241025.09,10.398,120,677,Active,False,199184.02
282,5096,66,Business,2023-02-28,2023-03-07,111650.97,12.491,36,658,Active,False,93507.67
283,8837,52,Auto,2025-02-15,2025-02-16,73038.86,11.808,84,727,Active,False,66185.02
284,4818,38,Auto,2024-06-21,2024-07-03,50000.0,10.902,60,617,Active,False,42886.79
285,24094,71,Home,2024-12-29,2025-01-12,96881.61,13.344,36,750,Defaulted,True,12441.5
286,5278,84,Home,2025-06-28,2025-07-24,50000.0,16.875,120,825,Active,False,30098.01
287,11378,38,Auto,2022-05-11,2022-05-31,137095.46,9.799,84,850,Active,False,65150.82
288,7951,16,Home,2025-03-04,2025-03-16,474063.65,15.46,60,808,Active,False,418101.26
289,6370,51,Education,2022-10-09,2022-10-22,70176.01,17.996,36,654,Defaulted,True,32554.11
290,2997,32,Auto,2022-03-22,2022-04-09,66619.02,13.039,84,727,Active,False,27340.78
291,9709,3,Auto,2024-11-26,2024-11-27,135075.25,15.467,48,770,Active,False,53815.19
