market_date,asset_name,asset_type,open_price,high_price,low_price,close_price,volume
2022-05-31,NIFTY 50,Index,7314.5237,7460.0089,7178.0744,7398.1246,14312711
2022-06-01,NIFTY 50,Index,7398.1246,7518.0561,7246.2129,7392.1753,2465188
2022-06-02,NIFTY 50,Index,7392.1753,7483.735,7248.7797,7427.1563,1091053
2022-06-03,NIFTY 50,Index,7427.1563,7530.0221,7365.5377,7460.0922,4319814
2022-06-06,NIFTY 50,Index,7460.0922,7589.1104,7329.0494,7450.1745,3092576
2022-06-07,NIFTY 50,Index,7450.1745,7765.8699,7323.5741,7621.8526,4468031
2022-06-08,NIFTY 50,Index,7621.8526,7641.5413,7443.5584,7588.3519,660581
2022-06-09,NIFTY 50,Index,7588.3519,7690.2939,7342.9344,7434.8482,5584423
2022-06-10,NIFTY 50,Index,7434.8482,7534.7091,7268.3192,7344.7498,2412407
2022-06-13,NIFTY 50,Index,7344.7498,7485.0421,7263.6774,7359.6076,15421340
2022-06-14,NIFTY 50,Index,7359.6076,7535.4657,7339.8816,7475.1439,3859654
2022-06-15,NIFTY 50,Index,7475.1439,7676.9083,7454.756,7644.3488,7864151
2022-06-16,NIFTY 50,Index,7644.3488,7711.2331,7313.4846,7448.1712,13857522
2022-06-17,NIFTY 50,Index,7448.1712,7589.8863,7389.1008,7472.7652,372925
2022-06-20,NIFTY 50,Index,7472.7652,7729.0729,7450.7842,7585.0301,4550285
2022-06-21,NIFTY 50,Index,7585.0301,7624.81,7515.3789,7585.631,7249227
2022-06-22,NIFTY 50,Index,7585.631,7637.0874,7489.5361,7587.2013,4892036
2022-06-23,NIFTY 50,Index,7587.2013,7606.7581,7556.089,7575.4892,3031888
2022-06-24,NIFTY 50,Index,7575.4892,7627.8612,7318.9555,7452.624,5323668
2022-06-27,NIFTY 50,Index,7452.624,7711.0815,7423.9629,7684.5973,2375313
2022-06-28,NIFTY 50,Index,7684.5973,7698.2302,7574.5814,7592.901,1869112
2022-06-29,NIFTY 50,Index,7592.901,7648.2183,7357.019,7431.8454,2699203
2022-06-30,NIFTY 50,Index,7431.8454,7550.6673,7329.4954,7422.7099,3409697
2022-07-01,NIFTY 50,Index,7422.7099,7632.2612,7395.3169,7519.727,1757910
2022-07-04,NIFTY 50,Index,7519.727,7592.5966,7368.0053,7460.252,957370
2022-07-05,NIFTY 50,Index,7460.252,7571.7784,7386.9561,7392.3797,365079
2022-07-06,NIFTY 50,Index,7392.3797,7623.0899,7316.7294,7489.0057,1217200
2022-07-07,NIFTY 50,Index,7489.0057,7556.0192,7303.3966,7382.0325,3539451
2022-07-08,NIFTY 50,Index,7382.0325,7437.735,7291.5712,7294.4994,1323060
2022-07-11,NIFTY 50,Index,7294.4994,7342.278,7163.3679,7180.5671,1699129
2022-07-12,NIFTY 50,Index,7180.5671,7304.101,7067.2331,7206.2257,8125876
2022-07-13,NIFTY 50,Index,7206.2257,7283.6359,7030.422,7113.9167,3258260
2022-07-14,NIFTY 50,Index,7113.9167,7132.0686,7028.9247,7069.0452,15903315
2022-07-15,NIFTY 50,Index,7069.0452,7301.5741,7018.6999,7219.1633,882355
2022-07-18,NIFTY 50,Index,7219.1633,7258.6037,7204.4676,7224.3276,3713054
2022-07-19,NIFTY 50,Index,7224.3276,7247.5439,7150.0726,7176.8519,1748042
2022-07-20,NIFTY 50,Index,7176.8519,7305.571,7078.4288,7089.8056,1895192
2022-07-21,NIFTY 50,Index,7089.8056,7229.1031,6810.4763,6825.7714,6482664
2022-07-22,NIFTY 50,Index,6825.7714,6986.658,6714.2284,6867.7758,3002906
2022-07-25,NIFTY 50,Index,6867.7758,6959.6176,6668.945,6795.2519,1919201
2022-07-26,NIFTY 50,Index,6795.2519,7044.7919,6690.6739,7005.5636,16512234
2022-07-27,NIFTY 50,Index,7005.5636,7065.1721,6877.7987,6948.3397,1200145
2022-07-28,NIFTY 50,Index,6948.3397,7033.1956,6862.7784,6902.6246,2405536
2022-07-29,NIFTY 50,Index,6902.6246,6969.0472,6714.4583,6786.7493,4272640
2022-08-01,NIFTY 50,Index,6786.7493,6804.9941,6765.077,6773.6626,2175001
2022-08-02,NIFTY 50,Index,6773.6626,6865.988,6612.4403,6714.5318,6991817
2022-08-03,NIFTY 50,Index,6714.5318,6769.8381,6597.3374,6643.6929,37275546
2022-08-04,NIFTY 50,Index,6643.6929,6686.7501,6634.8573,6662.6004,3574707
2022-08-05,NIFTY 50,Index,6662.6004,6826.4041,6643.9755,6713.3738,15873063
2022-08-08,NIFTY 50,Index,6713.3738,6735.3475,6633.6542,6655.5197,5887420
2022-08-09,NIFTY 50,Index,6655.5197,6781.9878,6607.7557,6711.7738,9201903
2022-08-10,NIFTY 50,Index,6711.7738,6821.3904,6627.8579,6686.5842,8432610
2022-08-11,NIFTY 50,Index,6686.5842,6726.888,6521.7521,6620.7468,351396
2022-08-12,NIFTY 50,Index,6620.7468,6739.8639,6416.153,6465.7963,3321919
2022-08-15,NIFTY 50,Index,6465.7963,6636.1169,6450.6795,6554.2882,3597034
2022-08-16,NIFTY 50,Index,6554.2882,6616.5188,6536.0316,6572.4955,5774352
2022-08-17,NIFTY 50,Index,6572.4955,6695.3658,6454.9934,6624.6855,11379534
2022-08-18,NIFTY 50,Index,6624.6855,6665.9867,6545.5479,6578.2403,4895468
2022-08-19,NIFTY 50,Index,6578.2403,6847.1868,6533.2344,6729.1884,4886732
2022-08-22,NIFTY 50,Index,6729.1884,6881.6836,6698.3349,6861.1116,2095625
2022-08-23,NIFTY 50,Index,6861.1116,7051.6443,6765.8864,6962.3662,8654218
2022-08-24,NIFTY 50,Index,6962.3662,7010.5034,6769.3179,6793.9934,4329507
2022-08-25,NIFTY 50,Index,6793.9934,6868.0402,6731.2161,6813.4168,7538738
2022-08-26,NIFTY 50,Index,6813.4168,6917.4838,6810.949,6833.9114,45973310
2022-08-29,NIFTY 50,Index,6833.9114,7148.1427,6737.2472,7018.6487,5898889
2022-08-30,NIFTY 50,Index,7018.6487,7132.6116,6959.1123,7047.1,1045750
2022-08-31,NIFTY 50,Index,7047.1,7199.5022,6983.5578,7068.6518,3613167
2022-09-01,NIFTY 50,Index,7068.6518,7398.5224,7060.9099,7339.9492,5520354
2022-09-02,NIFTY 50,Index,7339.9492,7460.7582,7290.9919,7460.0671,1825198
2022-09-05,NIFTY 50,Index,7460.0671,7696.7117,7408.3918,7557.6723,321021
2022-09-06,NIFTY 50,Index,7557.6723,7773.6046,7523.7225,7703.9275,1441977
2022-09-07,NIFTY 50,Index,7703.9275,7731.105,7500.672,7576.1865,2816381
2022-09-08,NIFTY 50,Index,7576.1865,7725.4684,7488.2136,7669.8781,2793444
2022-09-09,NIFTY 50,Index,7669.8781,7817.3039,7532.6895,7555.1529,5480294
2022-09-12,NIFTY 50,Index,7555.1529,7705.7837,7391.8621,7466.8584,2773066
2022-09-13,NIFTY 50,Index,7466.8584,7578.8554,7362.1716,7393.2091,3795347
2022-09-14,NIFTY 50,Index,7393.2091,7421.405,7377.2944,7382.6911,3817233
2022-09-15,NIFTY 50,Index,7382.6911,7679.5796,7268.1815,7669.5006,1080457
2022-09-16,NIFTY 50,Index,7669.5006,7900.5845,7608.0275,7831.5474,228810
2022-09-19,NIFTY 50,Index,7831.5474,7860.043,7562.9302,7695.5688,4007594
2022-09-20,NIFTY 50,Index,7695.5688,7737.2395,7581.6508,7680.5766,5541438
2022-09-21,NIFTY 50,Index,7680.5766,7704.5634,7531.7702,7641.1878,3049262
2022-09-22,NIFTY 50,Index,7641.1878,7675.1104,7597.9767,7633.2538,3368518
2022-09-23,NIFTY 50,Index,7633.2538,7674.1561,7533.6022,7646.85,2869518
2022-09-26,NIFTY 50,Index,7646.85,7684.0401,7499.0065,7608.9199,2599381
2022-09-27,NIFTY 50,Index,7608.9199,7698.658,7507.2518,7637.9843,4209083
2022-09-28,NIFTY 50,Index,7637.9843,7774.9083,7563.0095,7564.9767,1280350
2022-09-29,NIFTY 50,Index,7564.9767,7700.0375,7257.1504,7377.7686,19090224
2022-09-30,NIFTY 50,Index,7377.7686,7433.7942,7157.084,7242.5893,1445107
2022-10-03,NIFTY 50,Index,7242.5893,7386.9258,7162.6242,7326.9312,795698
2022-10-04,NIFTY 50,Index,7326.9312,7465.9162,7027.4279,7136.416,1895660
2022-10-05,NIFTY 50,Index,7136.416,7358.4473,7075.726,7242.5869,3169364
2022-10-06,NIFTY 50,Index,7242.5869,7517.4767,7222.4009,7478.9023,6402872
2022-10-07,NIFTY 50,Index,7478.9023,7519.6335,7333.9049,7336.6034,3615777
2022-10-10,NIFTY 50,Index,7336.6034,7417.9191,7066.1928,7159.4692,5676603
2022-10-11,NIFTY 50,Index,7159.4692,7161.0437,7091.7658,7111.2344,5536856
2022-10-12,NIFTY 50,Index,7111.2344,7383.1398,7086.2922,7286.2276,15720790
2022-10-13,NIFTY 50,Index,7286.2276,7342.0603,7195.6716,7271.134,7323458
2022-10-14,NIFTY 50,Index,7271.134,7358.846,7199.8549,7235.3586,3987034
2022-10-17,NIFTY 50,Index,7235.3586,7286.827,6970.4236,7072.1273,1471158
2022-10-18,NIFTY 50,Index,7072.1273,7203.0701,6978.256,7135.1364,566043
2022-10-19,NIFTY 50,Index,7135.1364,7178.2045,7130.6865,7147.4789,3909956
2022-10-20,NIFTY 50,Index,7147.4789,7222.1822,7076.5235,7214.7617,715559
2022-10-21,NIFTY 50,Index,7214.7617,7326.0007,7019.0834,7034.0798,8772410
2022-10-24,NIFTY 50,Index,7034.0798,7125.0812,6937.2343,7055.1658,2338798
2022-10-25,NIFTY 50,Index,7055.1658,7170.7438,6782.2101,6892.4081,2190452
2022-10-26,NIFTY 50,Index,6892.4081,6973.7703,6733.0518,6782.0144,8281068
2022-10-27,NIFTY 50,Index,6782.0144,6855.518,6533.7326,6649.8315,2607114
2022-10-28,NIFTY 50,Index,6649.8315,6822.0056,6557.761,6733.29,6068742
2022-10-31,NIFTY 50,Index,6733.29,6799.1988,6659.8866,6689.4821,6156023
2022-11-01,NIFTY 50,Index,6689.4821,6778.2163,6596.1745,6773.6176,3737201
2022-11-02,NIFTY 50,Index,6773.6176,6953.5025,6645.6956,6821.0301,2641156
2022-11-03,NIFTY 50,Index,6821.0301,7055.7975,6777.4983,6938.5977,3016428
2022-11-04,NIFTY 50,Index,6938.5977,6955.329,6783.9746,6794.4317,5395270
2022-11-07,NIFTY 50,Index,6794.4317,6892.9193,6681.4787,6690.2236,11733127
2022-11-08,NIFTY 50,Index,6690.2236,6840.1223,6647.5731,6733.6335,474641
2022-11-09,NIFTY 50,Index,6733.6335,6907.3462,6702.2603,6823.3018,4338469
2022-11-10,NIFTY 50,Index,6823.3018,7008.5709,6687.1177,6898.3649,3426388
2022-11-11,NIFTY 50,Index,6898.3649,7083.49,6832.1578,7027.0026,1650465
2022-11-14,NIFTY 50,Index,7027.0026,7266.318,6919.0294,7126.0652,4474306
2022-11-15,NIFTY 50,Index,7126.0652,7231.1863,6915.249,6948.4316,563206
2022-11-16,NIFTY 50,Index,6948.4316,6988.3488,6878.2062,6919.2106,1461849
2022-11-17,NIFTY 50,Index,6919.2106,7013.263,6691.2575,6720.5934,977353
2022-11-18,NIFTY 50,Index,6720.5934,6838.7574,6579.1976,6705.9032,1431760
2022-11-21,NIFTY 50,Index,6705.9032,6963.4318,6572.9696,6940.2467,1683024
2022-11-22,NIFTY 50,Index,6940.2467,7136.2594,6908.2286,7063.8285,16536962
2022-11-23,NIFTY 50,Index,7063.8285,7090.1678,6901.796,7011.1111,1796005
2022-11-24,NIFTY 50,Index,7011.1111,7147.0008,6838.0134,6961.055,2763158
2022-11-25,NIFTY 50,Index,6961.055,7066.6178,6827.7675,6924.1545,1010979
2022-11-28,NIFTY 50,Index,6924.1545,6993.1716,6893.1596,6961.9208,2243274
2022-11-29,NIFTY 50,Index,6961.9208,7293.838,6949.1823,7210.1874,8350552
2022-11-30,NIFTY 50,Index,7210.1874,7228.8639,7045.639,7173.1413,5860821
2022-12-01,NIFTY 50,Index,7173.1413,7313.4677,7160.6619,7233.7722,9661018
2022-12-02,NIFTY 50,Index,7233.7722,7271.3521,6944.266,7046.2134,929739
2022-12-05,NIFTY 50,Index,7046.2134,7077.2426,6864.3469,6959.449,3242067
2022-12-06,NIFTY 50,Index,6959.449,7041.9056,6489.3414,6598.1691,1369254
2022-12-07,NIFTY 50,Index,6598.1691,6807.3366,6562.9312,6731.1758,1054085
2022-12-08,NIFTY 50,Index,6731.1758,6846.4185,6616.6675,6757.4297,4437289
2022-12-09,NIFTY 50,Index,6757.4297,6914.4143,6663.1674,6800.5709,6682528
2022-12-12,NIFTY 50,Index,6800.5709,7009.4464,6778.9988,6905.4888,15122417
2022-12-13,NIFTY 50,Index,6905.4888,7008.1746,6847.1157,6869.2015,1420388
2022-12-14,NIFTY 50,Index,6869.2015,6984.5345,6868.3242,6914.3582,4878810
2022-12-15,NIFTY 50,Index,6914.3582,7138.6366,6826.9865,7001.246,737194
2022-12-16,NIFTY 50,Index,7001.246,7158.9459,6892.0483,7082.4574,847250
2022-12-19,NIFTY 50,Index,7082.4574,7189.9024,6946.0504,7112.9029,2188266
2022-12-20,NIFTY 50,Index,7112.9029,7379.06,7098.32,7244.0273,773364
2022-12-21,NIFTY 50,Index,7244.0273,7275.1325,7200.4235,7265.2754,4918491
2022-12-22,NIFTY 50,Index,7265.2754,7349.868,7177.9,7227.9002,3892800
2022-12-23,NIFTY 50,Index,7227.9002,7353.8878,7038.2591,7178.0134,3714678
2022-12-26,NIFTY 50,Index,7178.0134,7223.243,7174.8373,7219.6928,1932247
2022-12-27,NIFTY 50,Index,7219.6928,7330.9349,7109.1685,7207.6678,427094
2022-12-28,NIFTY 50,Index,7207.6678,7351.4067,6966.0408,7025.9272,2177106
2022-12-29,NIFTY 50,Index,7025.9272,7137.6127,6802.7141,6898.4204,2736689
2022-12-30,NIFTY 50,Index,6898.4204,7054.922,6767.2312,7016.5751,12122136
2023-01-02,NIFTY 50,Index,7016.5751,7148.9942,6936.5493,6995.2714,1038243
2023-01-03,NIFTY 50,Index,6995.2714,7033.6356,6733.4239,6868.5948,17195133
2023-01-04,NIFTY 50,Index,6868.5948,6995.1881,6839.3202,6963.1639,2658925
2023-01-05,NIFTY 50,Index,6963.1639,7024.3982,6842.7905,6973.0035,2598896
2023-01-06,NIFTY 50,Index,6973.0035,7054.0457,6851.8652,7027.9684,3175815
2023-01-09,NIFTY 50,Index,7027.9684,7224.7221,6920.9993,7104.6838,6733058
2023-01-10,NIFTY 50,Index,7104.6838,7109.3055,6877.1412,7006.1736,4516490
2023-01-11,NIFTY 50,Index,7006.1736,7208.3144,6989.7359,7139.5573,5343570
2023-01-12,NIFTY 50,Index,7139.5573,7243.6647,7110.9241,7181.8568,1532790
2023-01-13,NIFTY 50,Index,7181.8568,7265.4495,7065.9834,7104.2031,3222638
2023-01-16,NIFTY 50,Index,7104.2031,7168.8826,7037.073,7038.7089,8848444
2023-01-17,NIFTY 50,Index,7038.7089,7106.2719,6938.2779,7022.5514,1642681
2023-01-18,NIFTY 50,Index,7022.5514,7255.1701,6913.0205,7132.4741,1095116
2023-01-19,NIFTY 50,Index,7132.4741,7147.4424,7097.5018,7132.0272,1846855
2023-01-20,NIFTY 50,Index,7132.0272,7494.9769,7052.1986,7391.1366,3195956
2023-01-23,NIFTY 50,Index,7391.1366,7442.9672,7291.3539,7296.1991,3394476
2023-01-24,NIFTY 50,Index,7296.1991,7315.5655,7196.176,7278.7963,1572414
2023-01-25,NIFTY 50,Index,7278.7963,7418.5261,7254.4149,7388.9481,6097014
2023-01-26,NIFTY 50,Index,7388.9481,7526.5658,7384.2803,7421.7008,1471002
2023-01-27,NIFTY 50,Index,7421.7008,7758.481,7315.706,7625.6469,4675869
2023-01-30,NIFTY 50,Index,7625.6469,7749.9183,7549.5369,7561.6529,9713332
2023-01-31,NIFTY 50,Index,7561.6529,7700.7642,7493.2474,7576.9123,8453959
2023-02-01,NIFTY 50,Index,7576.9123,7736.364,7564.5422,7624.7995,28991319
2023-02-02,NIFTY 50,Index,7624.7995,7745.2254,7410.1775,7509.1036,1925510
2023-02-03,NIFTY 50,Index,7509.1036,7958.1723,7474.7938,7845.3248,2967917
2023-02-06,NIFTY 50,Index,7845.3248,7952.0571,7703.8157,7714.9559,5747510
2023-02-07,NIFTY 50,Index,7714.9559,7957.6024,7600.3569,7843.5309,2926350
2023-02-08,NIFTY 50,Index,7843.5309,7901.736,7475.8929,7626.5399,1326957
2023-02-09,NIFTY 50,Index,7626.5399,7737.164,7377.6449,7450.1601,24196948
2023-02-10,NIFTY 50,Index,7450.1601,7538.4222,7137.2528,7269.9088,1843601
2023-02-13,NIFTY 50,Index,7269.9088,7422.7866,7163.3155,7330.1974,933029
2023-02-14,NIFTY 50,Index,7330.1974,7510.667,7303.8552,7376.5564,1646874
2023-02-15,NIFTY 50,Index,7376.5564,7487.5982,7340.0821,7414.5973,2442444
2023-02-16,NIFTY 50,Index,7414.5973,7490.9406,7346.2281,7399.3903,9458283
2023-02-17,NIFTY 50,Index,7399.3903,7457.2656,7132.3351,7273.3526,4498359
2023-02-20,NIFTY 50,Index,7273.3526,7411.502,7160.8378,7363.6106,940563
2023-02-21,NIFTY 50,Index,7363.6106,7374.4346,7169.5395,7193.9642,2489528
2023-02-22,NIFTY 50,Index,7193.9642,7313.2233,6909.969,6970.035,4215057
2023-02-23,NIFTY 50,Index,6970.035,7139.4852,6946.7493,7039.9714,812607
2023-02-24,NIFTY 50,Index,7039.9714,7199.2315,6921.1127,7131.5346,11100502
2023-02-27,NIFTY 50,Index,7131.5346,7297.0214,7102.1753,7172.4684,11979872
2023-02-28,NIFTY 50,Index,7172.4684,7180.6575,7063.6068,7139.452,1884271
2023-03-01,NIFTY 50,Index,7139.452,7272.7991,7082.5053,7127.5738,1161293
2023-03-02,NIFTY 50,Index,7127.5738,7148.7204,6927.3196,7066.7653,3299533
2023-03-03,NIFTY 50,Index,7066.7653,7206.6165,7002.4945,7083.6558,5139852
2023-03-06,NIFTY 50,Index,7083.6558,7178.1325,6843.3808,6862.5481,61697430
